,decade,compound,GPE,Unnamed: 0,Artist,Song Name,release date,Line,Line Before,Line After,pos,neg,neu,year
3462,2010.0,-0.0516,Queens,3462,Nas,Ether,2012-07-17,"Queens niggas run you niggas, ask Russell Simmons, ha","You a dick-ridin' faggot, you love the attention",R-O-C get gunned up and clapped quick,0.309,0.324,0.368,2012.0
3782,2010.0,-0.0516,Brooklyn,3782,Dj Premier,Sing Like Bilal (Version 3),2011-08-07,Fitted to the side on my Brooklyn shit,I walk and perfects with a ill one with me,No V.I.P. I ain\'t shook for shit,0.228,0.246,0.526,2011.0
3780,2010.0,-0.0516,Brooklyn,3780,Dj Premier,Sing like bilal,2011-08-07,Fitted to the side on my Brooklyn shit,I walk and perfects with a ill one with me,No V.I.P. I ain\'t shook for shit,0.228,0.246,0.526,2011.0
2663,2010.0,-0.0516,America,2663,Raekwon,Crane Style,2012-01-01,"Anything that move, and move out America","Yeah, I'm from the lead era, shoot at","And all we ever want is needed, seen it",0.208,0.226,0.566,2012.0
2739,2010.0,-0.0772,Brooklyn,2739,Young M.A,Summer Story,2017-04-27,I'm reppin' Brooklyn so they put me in a cash cab,Disrespect and get pressed like a hashtag,[Hook],0.269,0.301,0.43,2017.0
8,2010.0,-0.1027,Jersey,8,French Montana,Big Cap,2012-04-13,Kept the mansion in Jersey for the May weather,"Shawty sucked it out the condom, kissed hubby in the mouth, ah",Still copped a new mansion in Vegas by Mayweather,0.167,0.192,0.641,2012.0
2601,2010.0,-0.1027,Chinatown,2601,Ghostface Killah,Chinatown Wars,2019-09-13,"Ox' him, buck 50 stitch him, Chinatown Wars",Carjack a fool twist his limbs like pilates,I chop 'em up like rice in the kitchen,0.24,0.279,0.481,2019.0
1988,2010.0,-0.1027,Brooklyn,1988,Cam'ron,Dime After Dime,2013-10-01,Like that posse out in Brooklyn we would mash out,"Hefty bag? Nah, they wasn't bringing trash out","Body builder, I be slinging weight around",0.0,0.167,0.833,2013.0
3357,2010.0,-0.1027,America,3357,Nas,America,2019-07-19,"Wake up (Americaaaaaa), this is not what you think it is","America (Americaaaaaa), pay attention","America (Americaaaaaa), pay attention",0.0,0.318,0.682,2019.0
3354,2010.0,-0.1027,America,3354,Nas,America,2019-07-19,"Wake up (Americaaaaaa), this is not what you think it is","America (Americaaaaaa), pay attention","America (Americaaaaaa), pay attention",0.0,0.318,0.682,2019.0
2419,2010.0,-0.1027,America,2419,Wu-Tang Clan,America,2014-12-02,America Is Dying Slowly,"AIDS kills, word up respect this",,0.292,0.33,0.377,2014.0
2418,2010.0,-0.1027,America,2418,Wu-Tang Clan,America,2014-12-02,America Is Dying Slowly,"AIDS kills, word up respect this","AIDS kills, word up respect this",0.292,0.33,0.377,2014.0
2417,2010.0,-0.1027,America,2417,Wu-Tang Clan,America,2014-12-02,America Is Dying Slowly,"AIDS kills, word up respect this","AIDS kills, word up respect this",0.292,0.33,0.377,2014.0
2416,2010.0,-0.1027,America,2416,Wu-Tang Clan,America,2014-12-02,America Is Dying Slowly,"AIDS kills, word up respect this","AIDS kills, word up respect this",0.292,0.33,0.377,2014.0
1717,2010.0,-0.128,Staten Island,1717,Masta Ace,Enuff,2012-07-17,"I rep Brooklyn, Manhattan, Staten Island","Enough wilding, fuck that yo, enough smiling","Queens plus the BX, not enough Tecs",0.261,0.304,0.435,2012.0
1749,2010.0,-0.128,New York,1749,Masta Ace,Mothers Regret,2016-05-13,"I\'m from the city brother, New York, New York city","I’m Biz Markie, I’m down with my cousin Cool V, TJ Swan, Marley Marl...2Embed"", 'Mothers Regret Lyrics[Verse 1: Masta Ace]","Well that\'s the alcohol and drugs, steal the soul of a young pretty mother",0.1,0.121,0.779,2016.0
1716,2010.0,-0.128,Manhattan,1716,Masta Ace,Enuff,2012-07-17,"I rep Brooklyn, Manhattan, Staten Island","Enough wilding, fuck that yo, enough smiling","Queens plus the BX, not enough Tecs",0.261,0.304,0.435,2012.0
1715,2010.0,-0.128,Brooklyn,1715,Masta Ace,Enuff,2012-07-17,"I rep Brooklyn, Manhattan, Staten Island","Enough wilding, fuck that yo, enough smiling","Queens plus the BX, not enough Tecs",0.261,0.304,0.435,2012.0
2161,2010.0,-0.1496,Harlem,2161,Big L,NY Freestyle,2010-11-23,"Harlem World, y'all know where the fuck I'm from",I never hesitate to bust my gun,[McGruff],0.221,0.292,0.487,2010.0
3707,2010.0,-0.1531,Harlem,3707,A$AP Ferg,Pups,2014-11-28,Had the whole Harlem World wearin' Under Armours,"Gone for a minute, now I'm back, did you miss me?","Under the armors, I'm a pretty mothafuckin' comma",0.0,0.151,0.849,2014.0
743,2010.0,-0.1586,America,743,Mobb Deep,Black Cocaine,2014-04-01,"America's public enemy number one, is drug abuse","Nah you don't want none1Embed"", ""Black Cocaine Lyrics[Intro: President Richard Nixon]",,0.0,0.226,0.774,2014.0
4108,2010.0,-0.2023,New York City,4108,Immortal Technique,The Getaway,2011-10-27,Far from New York City on a tropical getaway,"Yo, I hate my job, so I always look to a better day",But not in Miami,0.199,0.253,0.548,2011.0
4107,2010.0,-0.2023,New York,4107,Immortal Technique,The Getaway,2011-10-27,Far from New York City on a tropical getaway,"Yo, I hate my job, so I always look to a better day",But not in Miami,0.199,0.253,0.548,2011.0
290,2010.0,-0.2144,Brooklyn,290,Redman,Full Nelson,2015-11-13,I do it (Big) like March 9th in Brooklyn,Blind to the fact but I still see you lookin,"Beast on the beat, call me Wolfman!",0.0,0.188,0.812,2015.0
2159,2010.0,-0.2263,Harlem,2159,Big L,Now or Never,2010-11-23,"I must warn, my Harlem crew roll strong",Hustlin' on hot corners that be smothered with cops,"Word bond, we leave mics torn",0.0,0.192,0.808,2010.0
262,2010.0,-0.25,Jersey,262,Redman,Bridging The Gap Freestyle,2013-08-01,"Jersey in the fuckin hid-ouse, for your mid-outh","I don\'t give a fuck, we gon\' set it off like this",,0.179,0.25,0.571,2013.0
1400,2010.0,-0.25,Jersey,1400,Chino XL,Many Different Ways,2012-09-25,Still representin Jersey to the fullest -- Down at Fraggle Rock!,"My crew stay high like astronauts, this yellow bastard rocks",So now I rips again; leavin rappers whimperin,0.179,0.25,0.571,2012.0
2594,2010.0,-0.2732,Staten Island,2594,Ghostface Killah,Bob James Freestyle,2012-10-22,"Nah, you don't wanna come to Staten Island","[?] street light, smell of sweet violence","These youngins take your head straight off, that's they talent",0.248,0.339,0.413,2012.0
2592,2010.0,-0.2732,Staten Island,2592,Ghostface Killah,Bob James Freestyle,2012-10-22,"Nah, you don't wanna come to Staten Island","[?] street light, smell of sweet violence","These youngins take your head straight off, that's they talent",0.248,0.339,0.413,2012.0
1458,2010.0,-0.2732,New York,1458,U-God,Ghostface Killers (Freestyle),2013-07-23,"Known to be gritty, that New York fitty","My New York shit, it get cold-heart like a frost-bit titty","Any city in raps, witty unpredictable game, game, game",0.177,0.255,0.567,2013.0
2683,2010.0,-0.2732,Jamaica,2683,Raekwon,Forecast,2011-03-07,Jamaica yep Bahamas,Indiana where they all throw scramblers and they cut ya',"And we honor everything, homage, looking Guyanese in Ghana",0.0,0.189,0.811,2011.0
2072,2010.0,-0.2732,Harlem,2072,Big L,Clinic (I Shoulda Used a Rubber),2010-11-23,Cruise through Harlem in a bullet-proof MPV,Ya\'ll still envy me cause I\'m M.V.P,"Man, you fuck around and get plugged like MTV",0.0,0.259,0.741,2010.0
2144,2010.0,-0.2732,Harlem,2144,Big L,Let Me Find Out,2012-01-01,Cruise through Harlem in a bulletproof MPV,"Ya'll still envy me, cause I'm MVP","Man, you fuck around and get plugged like MTV",0.0,0.259,0.741,2012.0
2157,2010.0,-0.2732,Harlem,2157,Big L,Nigga Please,2010-07-10,Harlem World Dangеr Zone that's just the way shit is,Cut his fingers off and send the pieces to his kids,".22's .45's and .357's, two .38's and four Mac .11s",0.0,0.174,0.826,2010.0
2155,2010.0,-0.2732,Harlem,2155,Big L,Nigga Please,2010-07-10,Harlem World Danger Zone thats just the way shit is,Cut his fingers off and send the pieces to his kids,".22's .45's and .357's, two .38's and four Mac .11s",0.0,0.174,0.826,2010.0
2338,2010.0,-0.2732,Brooklyn,2338,Fat Joe,Intro (The Darkside),2010-07-27,Still got my Name covering the walls in central Brooklyn,"Drop from Harlem even, more for Brooklyn","Haters want me, they love to slut me",0.0,0.259,0.741,2010.0
3885,2010.0,-0.2755,Queens,3885,Action Bronson,Falconry,2011-01-04,I'm so Queens like a Roy Wilkins T-shirt,"Uh, you ain't a legend like Yanni","With one arm shredded, and one arm missing",0.0,0.297,0.703,2011.0
3857,2010.0,-0.296,Queens,3857,Action Bronson,Barry Horowitz,2013-11-01,"This is Bronson - representing Flushing, Queens on the map","Ain\'t no ""Cat in the Hat,"" just a cat that can rap",Yeah - heavyweight primate with a Harvard mind,0.0,0.18,0.82,2013.0
3976,2010.0,-0.296,New York,3976,Method Man,Fire Ina Hole,2018-12-14,"Ahh pork on the fork, better check the rugged New York styles","No the swine, the gum base, the dextrose on our mind","From the Meth-Tical, oh my god",0.0,0.18,0.82,2018.0
1828,2010.0,-0.296,New York,1828,Talib Kweli,Here We Go (Instrumental),2012-02-13,My ability got more cats in New York,No type of stability,Running than Hilary,0.0,0.423,0.577,2012.0
2870,2010.0,-0.296,New York,2870,Puff Daddy,Hold Up,2015-11-04,We bring New York back like that West side stadium,Stop teasin 'em you can't rock Palladium,Fuck the game and if the fame went away,0.0,0.268,0.732,2015.0
2987,2010.0,-0.296,NYC,2987,Mos Def,Black Jesus,2013-01-01,"Recorded and mixed by David Kennedy at Sony Music Studios, NYC",Cuts by Etch-A-Sketch,"Medina Sound Music (BMI), Dusty Finger Music (BMI)",0.0,0.524,0.476,2013.0
197,2010.0,-0.296,NYC,197,Chuck D,My SuperHero,2014-01-01,"My Dad drove a cab in dangerous 1970s NYC for a few years. I was a teenager and I couldn\'t sleep until he came through the door around 3am. I got my first jobs with him at 17-18 years old, working shipping and receiving departments for fabric warehouses. I had 14-15 jobs from 1979-1986, culminating in driving furniture in a U-Haul across NYC, a job all of Public Enemy and The Bomb Squad guys did at one time or another before records.","Where other families figured it would cost too much to travel, my father once found a way to take us on vacation. He bought a car that had no reverse, and he drove us to Canada. My parents figured it out with minimum funds","My dad liked music a lot but he wasn\'t into the music, he was a solid NY sports fanatic. Born in Harlem in 1938, Lorenzo Douglas Ridenhour (for which the D in my name comes from) was naturally a Brooklyn Jackie Robinson Dodger fan. My Dad was even scouted as a pitcher for the Chicago White Sox, but by then the Marines wouldn\'t let him try out. For him, it became the Mets, the Knicks, the Jets, and the Rangers, that was it and understood. We cried sport. I got loud that way.",0.0,0.051,0.949,2014.0
273,2010.0,-0.296,Long Island,273,Redman,Come And Get It,2010-12-07,"At the bar three iced teas, Long Island","Guns on salas, whips no mileage","I stay stylin, boots stay filled with weed",0.0,0.306,0.694,2010.0
79,2010.0,-0.296,Jamaica,79,Nicki Minaj,Buy a Heart (Target Version),2010-11-22,I\'m gettin bread with dread up in Jamaica (Yeah),"They don\'t make us to break us, no, I\'m with the bakers (Haha)","It\'s them young stunnas, Nick and Lil Weezy (Weez)",0.0,0.155,0.845,2010.0
3800,2010.0,-0.296,Brooklyn,3800,Fabolous,Brooklyn,2011-12-25,Is Brooklyn in here tonight?!?!?!?,"No hearing lossEmbed', 'Brooklyn Lyrics[Intro - Funkmaster Flex]",,0.0,0.268,0.732,2011.0
3584,2010.0,-0.296,Bronx,3584,Big Pun,My Turn,2014-12-23,"Official Bronx niggas, quick to body yo\' mother (ouch)",I\'m from the streets deep in the barrio ain\'t no Mario Brothers,,0.0,0.167,0.833,2014.0
2474,2010.0,-0.296,Broadway,2474,Inspectah Deck,Get Right,2019-07-12,"Poured it in Broadway, check me out in the big display","Givin' the play, million shipped today, who got shit to say?","That's overlookin', Bronx, Queens, Brooklyn",0.16,0.24,0.6,2019.0
3690,2010.0,-0.296,America,3690,A$AP Ferg,Hectic,2017-06-13,What ever happened to American Dream?,"No Corona, just Heineken",What ever happened to the car life?,0.0,0.423,0.577,2017.0
4026,2010.0,-0.296,America,4026,Immortal Technique,Fuck Tha Government,2011-10-27,I wouldn't be fightin' for Bush or White America's dream,It'd be warfare through Harlem and Washington Heights,I'd be fightin' for my people's survival and self-esteem,0.0,0.239,0.761,2011.0
529,2010.0,-0.296,America,529,Kool G Rap,American Nightmare,2011-05-31,"America's nightmare, fat ass, pretty face","No jumpin' to brooms, just jumpin' bed to bed","But you better watch her, the safe in a different place",0.0,0.216,0.784,2011.0
526,2010.0,-0.296,America,526,Kool G Rap,American Nightmare,2011-05-31,"America's nightmare, fat ass, pretty face","No jumpin' to brooms, just jumpin' bed to bed","But you better watch her, the safe in a different place",0.0,0.216,0.784,2011.0
525,2010.0,-0.296,America,525,Kool G Rap,American Nightmare,2011-05-31,"America's nightmare, fat ass, pretty face","No jumpin' to brooms, just jumpin' bed to bed","But you better watch her, the safe in a different place",0.0,0.216,0.784,2011.0
982,2010.0,-0.296,America,982,Public Enemy,Hannibal Lecture,2012-10-01,Being here in America doesn't make you an American,"No sound aroundEmbed"", ""Hannibal Lecture Lyrics[Malcolm X]",Being born here in America doesn't make you an American,0.0,0.268,0.732,2012.0
3265,2010.0,-0.3182,Jersey,3265,Fetty Wap,Boomin,2016-11-21,New Jersey niggas'll turn up at your party,That bitch you was with chugs Remy just like a hobby,That bitch you was with chugs Remy just like a hobby,0.175,0.266,0.559,2016.0
2649,2010.0,-0.3182,Jamaica,2649,Raekwon,Back Stabbers,2012-01-01,They like two wild Jamaicans that don't play,The nigga in a black Aston an he roll with Ghost,"Bud and guns get blown, lift the top of your toupee",0.0,0.204,0.796,2012.0
2489,2010.0,-0.34,Staten Island,2489,Inspectah Deck,Intro,2014-11-07,Them Staten Island niggas don't play,Niggas in the streets gon' learn,,0.0,0.324,0.676,2014.0
2487,2010.0,-0.34,Staten Island,2487,Inspectah Deck,Intro,2014-11-07,Them Staten Island niggas don't play,Niggas in the streets gon' learn,,0.0,0.324,0.676,2014.0
2485,2010.0,-0.34,Staten Island,2485,Inspectah Deck,Intro,2014-11-07,Them Staten Island niggas don't play,Niggas in the streets gon' learn,,0.0,0.324,0.676,2014.0
608,2010.0,-0.34,Queens,608,Kool G Rap,Typical Nigga,2017-06-02,"5 Fam ride out, Queens borough, Brook' connect","You let me find out, them niggas getting put to rest",[Chorus],0.0,0.194,0.806,2017.0
260,2010.0,-0.34,Queens,260,Redman,Bridging The Gap Freestyle,2013-08-01,"Somebody said Jamaica, Queens in this motherfucker","And all my niggas from the Weequahic section, word is bond","I don\'t give a fuck, we gon\' set it off like this",0.0,0.194,0.806,2013.0
494,2010.0,-0.34,Queens,494,Cormega,Get Out My Way,2018-12-26,And Queens feel it when you pump that Mobb Deep,Where Brooklyn go crazy when you bump B.I.G,That Jay-Z–Nas beef doesn't involve me (I'm sorry),0.0,0.255,0.745,2018.0
3884,2010.0,-0.34,New York,3884,Action Bronson,Expensive Pens,2012-03-12,I'm from New York home of the hustle,Seen niggas make a million standing outside they building,Where skinny people move big cuz chrome is the muscle,0.0,0.255,0.745,2012.0
3739,2010.0,-0.34,New York,3739,Masta Killa,Grab the Mic,2017-09-29,"East New York squad, in the yard getting ripped","Look, another smash hit, my niggas from the boulevard","\'Least twenty five a clip, a hundred men stomp in ya face",0.0,0.231,0.769,2017.0
795,2010.0,-0.34,New York,795,Mobb Deep,Eye For An Eye (1994 Session),2014-04-01,"New York metropolis, the Bridge brings apocalypse","Shank is serving 'em, what's up to all my niggas swerving in","Shoot at the clouds feels like, the holy beast is watching us",0.0,0.179,0.821,2014.0
92,2010.0,-0.34,New York,92,Nicki Minaj,Curious George,2014-12-15,"I\'m a New York broad, spend chips in the village","Pop bitches in the eye, like I finished my spinach","Hopped out the yellow cab, oops, the yellow Jaguar",0.187,0.291,0.522,2014.0
117,2010.0,-0.34,New York,117,DMX,Damien III,2012-09-11,Plus you know how shit flow in New York:,"Dog, where you hear that? Pssh, niggas talk","Walls have ears, buildings heard",0.0,0.255,0.745,2012.0
1398,2010.0,-0.34,Jersey,1398,Chino XL,Lyrical Jesus,2012-09-25,"Ever since Pac dissed me, Jersey tried to front on me",Niggas is Australian they\'re so far beneath me,Now I\'m so vain/vein you could probably draw blood from me,0.0,0.255,0.745,2012.0
3419,2010.0,-0.34,Jersey,3419,Nas,Blue Benz,2017-11-20,"A Jersey penthouse, she used to pimp girls that would turn rich men out","Crazy, I knew this chick, she had a blue Benz",Her coke habits was so savage,0.0,0.255,0.745,2017.0
2488,2010.0,-0.34,Jersey,2488,Inspectah Deck,Intro,2014-11-07,Them Jersey niggas don't play,Niggas in the streets gon' learn,Niggas in the streets gon' learn,0.0,0.324,0.676,2014.0
2484,2010.0,-0.34,Jersey,2484,Inspectah Deck,Intro,2014-11-07,Them Jersey niggas don't play,Niggas in the streets gon' learn,Niggas in the streets gon' learn,0.0,0.324,0.676,2014.0
2486,2010.0,-0.34,Jersey,2486,Inspectah Deck,Intro,2014-11-07,Them Jersey niggas don't play,Niggas in the streets gon' learn,Niggas in the streets gon' learn,0.0,0.324,0.676,2014.0
261,2010.0,-0.34,Jamaica,261,Redman,Bridging The Gap Freestyle,2013-08-01,"Somebody said Jamaica, Queens in this motherfucker","And all my niggas from the Weequahic section, word is bond","I don\'t give a fuck, we gon\' set it off like this",0.0,0.194,0.806,2013.0
3558,2010.0,-0.34,Harlem,3558,Rakim,Jodye,2011-10-31,And you know Harlem\'s what I\'m reppin\' nigga,Still that pretty motherfucker,[Chorus],0.327,0.469,0.204,2011.0
3705,2010.0,-0.34,Harlem,3705,A$AP Ferg,Plain Jane,2017-08-18,I attended Harlem picnics where you risked your life,"I'ma start killin' niggas, how you get that trife?","Uncle used to skim work, sellin' nicks at night",0.0,0.231,0.769,2017.0
3682,2010.0,-0.34,Harlem,3682,A$AP Ferg,Harlem Anthem,2013-08-20,You know Harlem is the livest,The fans going crazy in the rises,[Chorus],0.0,0.286,0.714,2013.0
1623,2010.0,-0.34,Harlem,1623,Max B,Fuck Ya Butt Freestyle,2011-03-22,"Harlem, let's get this money baby","For The Slores, my niggas (Owwww)","It's our year BrunoEmbed"", 'Fuck You LyricsSo so sufficient so elegant so consistent boss Don Biggavel coming to get you Niggas man (hella wavy) lets go",0.0,0.324,0.676,2011.0
2010,2010.0,-0.34,Harlem,2010,Cam'ron,Down and Out,2017-11-09,"Kill you, shoot the funeral up and Harlem Shake at your wake","Shaking to bake, shaking the Jakes","Just your picture, though; you still taped in a lake",0.0,0.459,0.541,2017.0
47,2010.0,-0.34,Harlem,47,A$AP Rocky,Jodye,2011-10-31,And you know Harlem\'s what I\'m reppin\' nigga,Still that pretty motherfucker,[Chorus],0.327,0.469,0.204,2011.0
3812,2010.0,-0.34,Brownsville,3812,Fabolous,Brooklyn,2011-12-25,Brownsville will rob ya -- they clap your homey,East New York will shoot you -- they dap your homey,Bed-Stuy will get you killed for a hundred grams,0.0,0.194,0.806,2011.0
4187,2010.0,-0.34,Brooklyn,4187,Joey bada$$,King of the Jungle,2015-01-20,Is Brooklyn in the house?,"I ain't the one that you niggas should be trying with, ya heard",Iron fist,0.0,0.179,0.821,2015.0
3809,2010.0,-0.34,Brooklyn,3809,Fabolous,Brooklyn,2011-12-25,Now they can\'t say Jay ain\'t sign a Brooklyn nigga,Marcy is back -- now look at niggas,Where Brooklyn at? Where Brooklyn at?,0.0,0.255,0.745,2011.0
3944,2010.0,-0.3612,Brooklyn,3944,50 Cent,Financial Freedom,2012-07-06,All you hear is Boo-Boo fuckin’ with them Brooklyn niggas,"Yeah, we was young, but we had guns, we started juxing niggas","I had supreme schemes, Corley Wall thoughts",0.109,0.211,0.68,2012.0
1777,2010.0,-0.3774,Brooklyn,1777,Talib Kweli,Art Imitates Life,2014-01-01,That's when I'm letting the Brooklyn out when they pull it out,"So they straining to push it out, put they foot in their mouth",Better let it off cause you set it off,0.0,0.177,0.823,2014.0
2709,2010.0,-0.3818,Brooklyn,2709,Young M.A,Henny Dance,2015-03-15,Of course I got a bunch of Brooklyn niggas with me,"Yeah, Brooklyn be the city bitch","Everything lit, everything litty",0.22,0.38,0.4,2015.0
779,2010.0,-0.3818,America,779,Mobb Deep,Double Shots,2017-01-13,"We come through, blow shit up, America\'s","Queensbridge, Mobb Deep like terrorists",Nightmares right here live in the flesh,0.26,0.427,0.312,2017.0
3703,2010.0,-0.4019,New York,3703,A$AP Ferg,Petit Valley (Freestyle),2014-11-28,So I'm back in New York and we talk on the phone,I swear to God I almost shed a tear when she told me that shit,She tell me that she want me back can I keep it at home,0.132,0.302,0.566,2014.0
2624,2010.0,-0.4019,New York,2624,Ghostface Killah,Ghostface On Big Pun (Spoken Word),2019-09-13,Bet Christmas is Christmas from New York to Tennessee,"Snowball fights, eggnog splashed with Hennessey","The Kris Kringles, the Jingling Babies",0.0,0.351,0.649,2019.0
3711,2010.0,-0.4019,America,3711,Masta Killa,Reloaded (Let It Go 2),2016-04-22,"He looking real good, on the inside he dieing slow  like America",You might say damn son put on some weight,Then you hire brother Obama to clean your house up,0.0,0.252,0.748,2016.0
1416,2010.0,-0.4191,Jersey,1416,Chino XL,What You Got,2012-09-25,"Breakin\' companies, Jersey got women strapped inside they office",I never lost this mad lust to be rap\'s Colossus,I got.. DJ Supporters and women makin\' sex offers,0.154,0.295,0.551,2012.0
2342,2010.0,-0.4215,Queensbridge,2342,Fat Joe,John Blaze,2010-07-27,"Queensbridge, pay homage respect, Nas is a vet","Like that nigga said in Dead Presidents, ""Money to burn""","Acknowledge the rep, polish baguettes",0.169,0.291,0.541,2010.0
2343,2010.0,-0.4215,Queens,2343,Fat Joe,John Blaze,2010-07-27,"Queensbridge, pay homage respect, Nas is a vet","Like that nigga said in Dead Presidents, ""Money to burn""","Acknowledge the rep, polish baguettes",0.169,0.291,0.541,2010.0
3514,2010.0,-0.4215,New York,3514,Necro,Do the Charles Manson,2018-11-30,"With a knife and a fork, for any punk in New York",Got dead bodies dried and cured ready to be eaten,"Take mines, and I\'ll have to outline your body with chalk",0.169,0.291,0.541,2018.0
2093,2010.0,-0.4404,Staten Island,2093,Big L,Furious Anger,2010-11-23,"Stapleton Staten Islander, your name\'s marked on the calendar",Look me in my eyes cuz ya handshake don\'t fool thee,"Ain\'t no screwin off a silencer, uh-uh",0.0,0.225,0.775,2010.0
2508,2010.0,-0.4404,New York,2508,Inspectah Deck,The Bad Apple,2014-12-02,"Where the livest, Christiopher Walken, King of New York, and","The sadness thing, he just might be","Resort to talking when the heaters on him, grieving on him",0.0,0.326,0.674,2014.0
530,2010.0,-0.4404,Manhattan,530,Kool G Rap,American Nightmare,2011-05-31,"Met on a Manhattan street, body petite, fat in the cheeks",As I was speakin\' to this half black/latin freak,"I was gettin\' open, started, laughin\' and jokin\'",0.0,0.293,0.707,2011.0
3801,2010.0,-0.4404,Brooklyn,3801,Fabolous,Brooklyn,2011-12-25,Where Brooklyn at?,[Hook: Notorious B.I.G.],,0.0,0.592,0.408,2011.0
2707,2010.0,-0.4404,Brooklyn,2707,Young M.A,Genius Freestyle 003,2019-09-27,"It’s Brooklyn, the home of the best niggas to do it","Act a fool, you food",But now rappers is trash,0.0,0.492,0.508,2019.0
1489,2010.0,-0.4404,America,1489,U-God,Lay Down,2013-07-23,In the gear of North America,"Twenty seven years of hysteria, bury ya",Placenta crackin it's crisis,0.0,0.326,0.674,2013.0
3695,2010.0,-0.4427,Harlem,3695,A$AP Ferg,Mad Man,2014-11-28,"Millionaire, still live in Harlem (Yeah, uh)","Don't cuff on no bitch, we just toss 'em",Bury your hood,0.149,0.299,0.552,2014.0
3902,2010.0,-0.4601,Bronx,3902,Action Bronson,Hookers At The Point,2015-03-23,"Name is dano born in the Bronx, half Puerto Rican","Got a little dick, many of the secrets I behold",Drive a truck hooked on dope cook a soul,0.0,0.3,0.7,2015.0
2463,2010.0,-0.4767,Brooklyn,2463,Wu-Tang Clan,Protect Ya Neck,2014-12-02,The Ol\' Dirty Bastard straight from the Brooklyn Zoo,Shame on you when you step through to,And I\'ll be damned if I let any man,0.0,0.307,0.693,2014.0
3930,2010.0,-0.4767,America,3930,50 Cent,Business Mind,2011-12-09,"America’s an oven, you got to break bread for us",We feel the life that we live is unfair to us,,0.0,0.237,0.763,2011.0
2617,2010.0,-0.4767,America,2617,Ghostface Killah,Fish,2018-11-30,These are the men who lead the crime families of America,"How you want it? Stop that, stop that","I control 26,000 men",0.121,0.411,0.467,2018.0
2154,2010.0,-0.4939,New York,2154,Big L,New York,2010-07-10,"For an assault, that I caught, in Bridgeport, New York",Smoking mad Newports cause I\'m due in court,Catch me if you can like the Gingerbread Man,0.0,0.314,0.686,2010.0
1385,2010.0,-0.4939,Chinatown,1385,Chino XL,Closer to God,2012-09-25,Flash tear through your abs like fake Chinatown Gucci bags,Scary when the muzzle flash,I got a terrible cerebral verbal virus,0.0,0.444,0.556,2012.0
4112,2010.0,-0.5093,Harlem,4112,Immortal Technique,The Getaway,2011-10-27,Representing Harlem,Word up (Word!) Immoral Technique,"All the way out to my fam, in Englewood",0.0,0.451,0.549,2011.0
3987,2010.0,-0.5106,New York City,3987,Method Man,Judgement Day (Intro),2017-10-13,We are live from Times Square in New York City,"Ladies and gentlemen, I am your host, Clark Dick",And we are approaching the final seconds of 1999,0.0,0.32,0.68,2017.0
3986,2010.0,-0.5106,New York,3986,Method Man,Judgement Day (Intro),2017-10-13,We are live from Times Square in New York City,"Ladies and gentlemen, I am your host, Clark Dick",And we are approaching the final seconds of 1999,0.0,0.32,0.68,2017.0
3802,2010.0,-0.5106,New York,3802,Fabolous,Brooklyn,2011-12-25,"East New York walk the Brownsville grill, ill","Bed-Stuy fly, Bushwick sick","You see, I got a Fort Greene lean",0.0,0.524,0.476,2011.0
3803,2010.0,-0.5106,Brownsville,3803,Fabolous,Brooklyn,2011-12-25,"East New York walk the Brownsville grill, ill","Bed-Stuy fly, Bushwick sick","You see, I got a Fort Greene lean",0.0,0.524,0.476,2011.0
4146,2010.0,-0.5106,America,4146,Joey bada$$,BABYLON,2017-04-07,"Tell me America is the land of the free, that\'s a lie",A long long time mi see ah idiot a try,"\'Cause nobody, nuh free \'bout yah",0.0,0.32,0.68,2017.0
1326,2010.0,-0.5267,New York,1326,Jean Grae,38 Special,2014-01-15,New York pimp game the worst chick since the birth of the words,I could make you love me if you fuck with me violence occurs,That I first met on a Thursday I think I\'m cursed,0.202,0.365,0.433,2014.0
1404,2010.0,-0.5267,Jersey,1404,Chino XL,Poison Pen (intro),2012-09-25,"Misplaced him in Jersey, it taught him survival",Abandonment of your second-born child down the Nile,You guide my hand as I write the modern Bible,0.0,0.327,0.673,2012.0
2176,2010.0,-0.5267,Harlem,2176,Big L,Sandman 118,2010-11-23,"In Harlem is where the thugs rest, in a slug fest",You should of known not roam through the danger zone,We sendin\' faggots all the way to heaven like Doug Fresh,0.0,0.274,0.726,2010.0
2185,2010.0,-0.5267,Harlem,2185,Big L,Slaying The Mic,2013-08-30,"(Harlem, USA dawg,)","Coming live, this is the danger zone",About to rip this shit,0.0,0.362,0.638,2013.0
2017,2010.0,-0.5275,America,2017,Cam'ron,Get It Get It,2019-12-20,"America's most wanted, should have signed to Cube","I'm so good but bad, I'm so kind but rude","Plus it's savage, cop car crash your door",0.315,0.421,0.265,2019.0
1758,2010.0,-0.5423,Staten Island,1758,Masta Ace,Nnuff,2016-05-13,"I rep Brooklyn, Manhattan, Staten Island","Enough wildin\', fuck that yo, enough smilin\'","Queens plus the BX, not enough teks",0.0,0.368,0.632,2016.0
2505,2010.0,-0.5423,Queens,2505,Inspectah Deck,The Bad Apple,2014-12-02,"Brooklyn, Bronx, Queens, Manhattan","'Cause this is That ShitEmbed"", 'The Bad Apple Lyrics[Hook 2X: sample]","And Staten, and Staten, and Staten, and Staten",0.0,0.259,0.741,2014.0
