Name;Categories;URL;Years Active Start;Birthdate;Summary;Years Active End;Deathdate;Clip Example YouTube;City;Neighborhood;Coordinates
Xzibit;rapper;https://en.wikipedia.org/wiki/Xzibit;1995;1974-09-18;"Alvin Nathaniel Joiner (born September 18, 1974), better known by his alias Xzibit (pronounced ""exhibit""), is an American rapper, actor, television host, radio personality and record producer.";;;https://www.youtube.com/embed/heGUAjA9db8;Detroit;;42.352718,-83.023499
The Sugarhill Gang;group;https://en.wikipedia.org/wiki/The_Sugarhill_Gang;;;"The Sugarhill Gang is an American hip hop group, known mostly for its 1979 hit ""Rapper's Delight,"" the first rap single to become a Top 40 hit on the Billboard Hot 100.";;;https://www.youtube.com/embed/mcCK99wHrk0;Englewood;;40.89204,-73.976025
DJ Kool Herc;producer;https://en.wikipedia.org/wiki/DJ_Kool_Herc;;;Clive Campbell (born 16 April 1955), better known by his stage name DJ Kool Herc, is a Jamaican-American DJ who is credited with originating hip hop music in the early 1970s in The Bronx, New York City.;;;https://www.youtube.com/embed/Kb3Tg0N2k7M;New York;Bronx;40.847078,-73.924342
Ghislain Poirier;producer;https://en.wikipedia.org/wiki/Ghislain_Poirier;;;Ghislain Poirier, often known simply as Poirier, is a DJ/producer from Montreal who is signed to the Ninja Tune record label.;;;https://www.youtube.com/embed/hgqKa0tBZYU;Montreal;;45.504921,-73.618425
Mike Jones;rapper;https://en.wikipedia.org/wiki/Mike_Jones_(rapper);2001;1981-11-18;Michael Jones (born November 18, 1981) is an American rapper, actor, and entrepreneur. He initially was with Swishahouse, then left to found his own label, Ice Age.;;;https://www.youtube.com/embed/vOrTA3iNZaM;Houston;;29.792792,-95.388161
Lil' Keke;rapper;https://en.wikipedia.org/wiki/Lil%27_Keke;1993;1976-03-23;Marcus Lakee Edwards (born March 29, 1976), better known by his stage name Lil' Keke, is an American rapper from Houston, Texas and original member of the Southern hip hop collective Screwed Up Click.;;;https://www.youtube.com/embed/3wuSQpiWtdU;Houston;;29.66094,-95.368082
Dae Dae;rapper;https://en.wikipedia.org/wiki/Dae_Dae;2015;1992-07-29;"Marquavis Goolsby (born July 29, 1992), better known by his stage name Dae Dae, is an American rapper from Atlanta, Georgia. He is known for his debut single ""Wat U Mean (Aye, Aye, Aye).""";;;https://www.youtube.com/embed/5-9Wi6hbgZ4;Atlanta;Boulevard, Fourth Ward;33.757892,-84.372125
Futur Krew;group;https://fr.wikipedia.org/wiki/Futur_Crew;1998;;Futur Crew, (also knew has Futur Krew) is a french rap band from the  Camélias neighborhood Saint-Denis, La Réunion.;;;https://www.youtube.com/embed/K90FvASMdwQ;Saint Denis;Les Camélias;-20.895031,55.460367
Charisma.com;group;https://en.wikipedia.org/wiki/Charisma.com;2011;;Charisma.com (カリスマドットコム?) is a Japanese electro/rap group that formed in 2011. Featuring MC Itsuka and DJ Gonchi.;;;https://www.youtube.com/embed/ffH_Mp74xh4;Kanagawa;;35.502375,139.617799
Hocus Pocus;group;https://en.wikipedia.org/wiki/Hocus_Pocus_(group);1995;;"Hocus Pocus is a Hip Hop / Jazz band from Nantes, France. Formed in 1995, their music is a mix of hip-hop, jazz, soul and funk. The band, however, reached significant commercial and critical success in 2006 with the 2005 LP 73 Touches re-release, the ""Hip Hop?"" single.";;;https://www.youtube.com/embed/_E-ikTHVEbE;Nantes;;47.227223,-1.541622
Take A Mic;rapper;;2015;;Take A Mic is a french rapper from Orly.;;;https://www.youtube.com/embed/IM-4NccheX8;Orly;;48.743699,2.398081
Iamsu!;"producer / dj;rapper;singer";https://en.wikipedia.org/wiki/Iamsu!;2007;1989-11-16;Sudan Ameer Williams (born November 16, 1989) better known by his stage name Iamsu!, is an American rapper, singer, and producer from Pinole, California.;;;https://www.youtube.com/embed/clq0utOguMI;Pinole;;37.991,-122.286
The Streets;"producer / dj;rapper";https://en.wikipedia.org/wiki/The_Streets;1994;;The Streets were an English hip hop and UK garage project from Birmingham, England, led by the vocalist and multi-instrumentalist Mike Skinner.;2011;;https://www.youtube.com/embed/QIKqw-pTiJ0;Birmingham;West Heath;52.396642,-1.957965
ATK;group;https://fr.wikipedia.org/wiki/ATK_(groupe);1995;;ATK is a French rap band from Paris. Created in 1995 and mainly know for their album Heptagone (1998). The group is composed of Axis, Cyanure, Freko Ding', Test and Fredy K.;;;https://www.youtube.com/embed/7pGqFGRIuPM;Paris;12th Arrondissement;48.847175,2.408019
Ace Hood;rapper;https://en.wikipedia.org/wiki/Ace_Hood;2006;1988-05-11;Antoine McColister (born May 11, 1988), better known by his stage name Ace Hood, is an American rapper. He was born in Port St. Lucie, Florida and raised in Deerfield Beach, Florida. He is signed to DJ Khaled's label We the Best Music Group and was formerly signed to Def Jam Recordings and Cash Money Records.;;;https://www.youtube.com/embed/r_dh16HQkqQ;Deerfield Beach;;26.295358,-80.117266
Kool G Rap;rapper;https://en.wikipedia.org/wiki/Kool_G_Rap;1986;1968-07-20;Nathaniel Thomas Wilson (born July 20, 1968), better known by his stage name Kool G Rap, is an American rapper from LeFrak City, Queens. He began his career in the mid-1980s as one half of the group Kool G Rap & DJ Polo and as a member of the Juice Crew.;;;https://www.youtube.com/embed/j6VmV3D-7D4;Queens;LeFrak City;40.736308,-73.860869
R. Kelly;singer;https://en.wikipedia.org/wiki/R._Kelly;1989;1967-01-08;Robert Sylvester Kelly (born January 8, 1967), known professionally as R. Kelly, is an American singer, songwriter, record producer, native of Chicago, Illinois, Kelly began performing during the late 1980s and debuted in 1992 with the group Public Announcement.;;;https://www.youtube.com/embed/y6y_4_b6RS8;Chicago;Bronzeville;41.824374,-87.613577
IAM;group;https://en.wikipedia.org/wiki/IAM_(band);1989;;"AM (pronounced as English ""I am"") is a French hip hop band from Marseille, formed in 1989, and composed of Akhenaton, Shurik'n, Khéops, Imhotep (Pascal Perez), and Kephren.";;;https://www.youtube.com/embed/QC6Zw_w_1TE;Marseille;;43.313878,5.411457
Mick Jenkins;rapper;https://en.wikipedia.org/wiki/Mick_Jenkins_(rapper)Mick Jenkins;2012;1991-04-16;Jayson Mick Jenkins (born April 16, 1991), better known as Mick Jenkins, is an American hip hop recording artist signed to Cinematic Music Group.;;;https://www.youtube.com/embed/GigIohlYqEI;Chicago;;41.7293151,-87.6092301
RZA;"producer;rapper";https://en.wikipedia.org/wiki/RZA;;;Robert Fitzgerald Diggs, better known by his stage name RZA (/ˈrɪzə/ riz-ə), is an American rapper, record producer, musician, actor, filmmaker and author.;;;https://www.youtube.com/embed/CE3hb__ylG4;New York;Brooklyn;40.6267,-74.006393
Rejjie Snow;rapper;https://en.wikipedia.org/wiki/Rejjie_Snow;2012;1993-06-27;Alexander Anyaegbunam (born June 27, 1993), better known by his stage name Rejjie Snow, is an Irish rapper and record producer from Dublin. He is currently signed to 300 Entertainment.;;;https://www.youtube.com/embed/cVQ7uuVfMUE;Dublin;Glasnevin and Drumcondra;53.373572,-6.266754
S.Pri Noir;rapper;https://genius.com/artists/Spri-noir;2012;;Malick Mendosa also known as S.Pri Noir is a French rapper from Paris, 20th.;;;https://www.youtube.com/embed/qAGsAyEhURI;Paris;Fougères;48.871915,2.410277
Triplego;group;https://genius.com/artists/Triplego;2013;;TripleGo is a French duo from Montreuil, Seine-Saint-Denis, formed by Sanguee and MoMo Spazz.;;;https://www.youtube.com/embed/XKBzOt3zuuA;Montreuil;Croix de Chavaux;48.857928,2.43644
Deen Burbigo;rapper;https://genius.com/artists/Deen-burbigo;2008;;Deen Burbigo is a french rapper from Toulon. He is a member of the crew L'entourage.;;;https://www.youtube.com/embed/tjrPKOMQDCo;Toulon;;43.138235,5.928624
Tortoz;"producer / dj;rapper";https://www.hiphop-spirit.com/artiste/tortoz/1710;2015;;Tortoz is a french rapper, producer from Grenoble.;;;https://www.youtube.com/watch?v=vlA3f_Ujg14;Grenoble;;45.176295,5.725842
Mike Will Made It;producer / dj;https://en.wikipedia.org/wiki/Mike_Will_Made_It;2005;1989-06-23;Michael Len Williams II (born March 23, 1989), known professionally as Mike Will Made It or simply Mike Will, is an American record producer. He is best known for producing trap beats for several Southern hip hop artists.;;;https://www.youtube.com/embed/I2yb4Et7u1U;Marietta;;33.939509,-84.521117
Die Antwoord;group;https://en.wikipedia.org/wiki/Die_Antwoord;2008;;Die Antwoord is a South African rap group formed in Cape Town in 2008. The group was formed by rappers Ninja and ¥O-LANDI VI$$ER, and producer God. Die Antwoord's image is based on a counterculture movement known as Zef in South Africa.;;;https://www.youtube.com/embed/cegdR0GiJl4;Cape Town;;-33.863259,18.594231
Lord Infamous;rapper;https://en.wikipedia.org/wiki/Lord_Infamous;1990;1973-11-17;Ricky T Dunigan (November 17, 1973 – December 20, 2013), better known by his stage name Lord Infamous, was an American rapper from Memphis, Tennessee. He was best known as co-founder of the Memphis rap group Three 6 Mafia.;2013;2013-12-20;https://www.youtube.com/embed/lZM0pBNVMW0;Memphis;;35.092953,-90.039561
Svinkels;group;https://fr.wikipedia.org/wiki/Svinkels;1994;;Svinkels is a french Hip Hop band composed of three MCs : Gérard Baste, Nikus Pokus, et Mr. Xavier (alias XanaX), active between 1994 and 2009.;2009;;https://www.youtube.com/embed/H1GZydVTdnI;Paris;;48.85363,2.360646
Raider Klan;group;;2008;;Raider Klan (RVIDXR KLVN) was formed and led by Spaceghostpurrp, based out of Carol City, Florida. Early 2008, Raider Klan Records was officially formed with members Dough Dough Da Don, Kadafi, Muney Junior and Jitt. Jitt suffered a tragic death in 2010, making Spaceghostpurrp become more active.;;;https://www.youtube.com/embed/SrQmO233jjI;Miami;Carol City;25.947376,-80.270063
Cypress Hill;group;https://en.wikipedia.org/wiki/Cypress_Hill;1990;;Cypress Hill is an American hip hop group from South Gate, California. Cypress Hill was the first Latino American hip hop recording group to have platinum and multi-platinum albums.;;;https://www.youtube.com/embed/RijB8wnJCN0;Los Angeles;South Gate;33.943882,-118.204613
La Fouine;"rapper;singer";https://en.wikipedia.org/wiki/La_Fouine;2001;1981-12-25;Laouni Mouhid (born December 25, 1981 in Trappes, Yvelines), commonly known by his stage name La Fouine or Fouiny Baby, is a French rapper.;;;https://www.youtube.com/embed/0QKnYud_FUc;Trappes;;48.776816,1.98633
The Coup;group;https://en.wikipedia.org/wiki/The_Coup#First_decade;;;The Coup is an American hip hop band from Oakland, California. Their music is an amalgamation of influences, including funk, punk, hip hop, and soul.;;;https://www.youtube.com/embed/LsUDGxdeICw;Oakland;;37.8026292,-122.2718327
Yung Light;rapper;https://www.facebook.com/pg/OFFICIAL.YungLight/about/;2012;1995-01-24;Christian Ioannidis aka ''Yung Light'' or ''Heartbreak Kid'' (born January 24, 1995) is a greek rapper and singer from Thessaloniki.;;;https://www.youtube.com/embed/j6dBIuq-EuU;Thessaloniki;;40.634343,22.941988
Bryson Tiller;singer;https://en.wikipedia.org/wiki/Bryson_Tiller;2011;1993-01-02;Bryson Djuan Tiller (born January 2, 1993), is an American R&B singer, rapper and songwriter. Born in Louisville, Kentucky.;;;https://www.youtube.com/embed/d7cVLE4SaN0;Louisville;;38.173161,-85.781185
Hugo TSR;rapper;https://genius.com/artists/Hugo-boss-tsr;2005;;Hugo TSR (previously know has Hugo Boss) is a french rappeur from La Chapelle,  Paris (18th). He is one of the member of the TSR Crew.;;;https://www.youtube.com/embed/eviqX3QXd-s;Paris;La Chapelle;48.891806,2.363621
Yellow Claw;group;https://en.wikipedia.org/wiki/Yellow_Claw_(DJs);2010;;Yellow Claw is a DJ and record production duo from Amsterdam, Netherlands. The group consists of Jim Aasgier (Jim Taihuttu) and Nizzle (Nils Rondhuis).;;;https://www.youtube.com/embed/eCb9iH6xmQ8;Amsterdam;;52.364643,4.882136
Rihanna;singer;https://en.wikipedia.org/wiki/Rihanna;2003;1988-02-20;Robyn Rihanna Fenty (born February 20, 1988) is a Barbadian singer, songwriter, and actress. Born in Saint Michael and raised in Bridgetown.;;;https://www.youtube.com/embed/e82VE8UtW8A;Bridgetown;;13.114441,-59.592148
De La Soul;group;https://en.wikipedia.org/wiki/De_La_Soul;1987;;De La Soul is an American hip hop trio formed in 1987 on Long Island, New York, formed by Posdnuos, Dave and Maseo.;;;https://www.youtube.com/embed/gC1xuVCBl4o;New York;Long Island;40.670466,-73.412484
Post Malone;rapper;https://en.wikipedia.org/wiki/Post_Malone;2015;1995-07-04;Austin Richard Post (born July 4, 1995), better known by his stage name Post Malone, is an American rapper, singer, songwriter and record producer from Grapevine, Texas.;;;https://www.youtube.com/embed/SLsTskih7_I;Grapevine;;32.933703,-97.08858
O.T. Genasis;rapper;https://en.wikipedia.org/wiki/O.T._Genasis;2011;1987-06-19;Odis Oliver Flores (born June 19, 1987), better known by the stage name O.T. Genasis, is an American hip hop recording artist from Long Beach, California.;;;https://www.youtube.com/embed/6vYnas6q3Sg;Long Beach;;33.796106,-118.193809
Mac Tyer;rapper;https://en.wikipedia.org/wiki/Mac_Tyer;1999;1979-04-23;Socrate Petteng better known as Mac Tyer is a French rapper of Cameroonian descent, born in Aubervilliers, Seine-Saint-Denis. Alongside with Mac Kregor he is a member of the rap band Tandem.;;;https://www.youtube.com/embed/8YIbnejG8vY;Aubervilliers;;48.914508,2.374911
Shystie;rapper;https://en.wikipedia.org/wiki/Shystie;2004;1983-12-25;Chanelle Scott Calica (born 25 December 1983), better known by her stage name Shystie, is an English rapper-songwriter and actress.;;;https://www.youtube.com/embed/ucJi94rQA-Y;Hackney;Northwold estate;51.562554,-0.060929
Kurupt;rapper;https://en.wikipedia.org/wiki/Kurupt;1991;1972-11-23;Ricardo Emmanuel Brown (born November 23, 1972), better known by his stage name Kurupt, is an American rapper, actor and former Executive Vice President of Death Row Records.;;;https://www.youtube.com/embed/oU5EUAh8q34;Los Angeles;Hawthorne;33.897352,-118.339833
Black Moon;group;https://en.wikipedia.org/wiki/Black_Moon_(group);1992;;Black Moon is an American hip hop group, composed of members Buckshot, 5ft and DJ Evil Dee (of Da Beatminerz). The group was most notable for their debut album Enta da Stage, and their affiliation with the Boot Camp Clik.;2006;;https://www.youtube.com/embed/prG2xT9CWgQ?list=RDprG2xT9CWgQ;New York;Brooklyn;40.695718,-73.917474
Soulja Slim;rapper;https://en.wikipedia.org/wiki/Soulja_Slim;1993;1977-09-09;James Adarryl Tapp, Jr. (September 9, 1977 – November 26, 2003), better known by his stage name Soulja Slim (previously Magnolia Slim), was an American rapper and songwriter from New Orleans. He  was shot by an unknow gunman on Thanksgiving Eve in the front row of his mother home.;2003;2003-11-26;https://www.youtube.com/embed/dpTxSG3P8fc;New Orleans;Magnolia Projects;29.938657,-90.09366
Common;rapper;https://en.wikipedia.org/wiki/Common_(rapper);1992;1972-03-13;Lonnie Rashid Lynn, Jr. (born March 13, 1972), better known by his stage name Common, is an American rapper, actor, film producer and poet from Chicago, Illinois.;;;https://www.youtube.com/embed/OjHX7jf-znA;Chicago;Calumet Heights;41.728333,-87.579722
Don Choa;rapper;https://fr.wikipedia.org/wiki/Don_Choa;1994;1974-08-01;François Dilhan, better know has Don Choa,(born 1st augustus 1974) is a French rapper member of the group Fonky Family.;;;https://www.youtube.com/embed/gfROM34lxBk;Marseille;;43.314352,5.380504
Freeman;rapper;https://en.wikipedia.org/wiki/Freeman_(rapper);1988;1972-05-09;Malek Brahimi, better known by his stage name Freeman, is a French rapper and breakdancer. He is a member of the hip hop group IAM together with Akhenaton, Shurik'n, Khéops, Imhotep, and Kephren.;;;https://www.youtube.com/embed/3jAAU_OPEKE;Marseille;Belsunce;43.29915,5.376904
SCH;rapper;https://en.wikipedia.org/wiki/SCH_(rapper);2015;1993-04-06;Julien Schwarzer (born 6 April 1993 in Marseille), better known by his stage name SCH is a French rapper from Aubagne.;;;https://www.youtube.com/embed/CXIbfrwMRQI;Aubagne;;43.289909,5.561181
Koopsta Knicca;rapper;https://en.wikipedia.org/wiki/Koopsta_Knicca;1994;1975-04-27;Robert Cooper Phillips (April 27, 1975 – October 9, 2015), better known by his stage name Koopsta Knicca, was an American rapper. He was best known as one of the members of the Memphis rap group Three 6 Mafia.;2015;2015-10-09;https://www.youtube.com/embed/6fHiMo5Izu4;Memphis;;35.14056,-90.035626
Mobb Deep;group;https://en.wikipedia.org/wiki/Mobb_Deep;;;Mobb Deep is an American hip hop duo from the Queensbridge Houses in New York City. The group consists of Havoc (born Kejuan Muchita) and Prodigy (born Albert Johnson) .;;;https://www.youtube.com/embed/yoYZf-lBF_U;Queens;Queensbridge;40.754335,-73.94694
Little Simz;"rapper;singer";https://en.wikipedia.org/wiki/Little_Simz;2010;1994-02-23;"Simbiatu ""Simbi"" Ajikawo (born 23 February 1994), better known by her stage name Little Simz, is a British rapper, singer and actress from Islington, London.";;;https://www.youtube.com/embed/44Zvdaa5eWc;London;Islington;51.55267,-0.101174
Guizmo;rapper;https://genius.com/artists/Guizmo;2011;;Guizmo, born on January 21, 1991, is a French rapper from Villeneuve-la-Garenne. He was a member of the collective of rap l'Entourage.;;;https://www.youtube.com/embed/RRbcymL1FXs;Paris;Villeneuve-la-Garenne;48.938373,2.327838
Black Kray;rapper;https://gvccikray.bandcamp.com/album/700-dagreez;2001;;Black Kray also know has Sickboyrari is an american rapper from Richmond , Virginia. He is the founder of Goth Money Records.;;;https://www.youtube.com/embed/n-BUPb1kDyc;Richmond;;37.53993,-77.444799
Morlockk Dilemma;"producer / dj;rapper";https://de.wikipedia.org/wiki/Morlockk_Dilemma;2001;1981-09-11;Morlockk Dilemma (born September 11, 1981 ) is a German MC and producer from Leipzig.;;;https://www.youtube.com/embed/kQBQI2wRww4;Leipzig;Grünau;51.319083,12.29356
B.G.;rapper;https://en.wikipedia.org/wiki/B.G._(rapper);1993;1980-09-03;"Christopher Dorsey (born September 3, 1980) better known by his stage name B.G. (short for ""Baby Gangsta"" or ""B. Gizzle""), is an American rapper and hip hop recording artist from New Orleans, Louisiana.";;;https://www.youtube.com/embed/WUKuIhuV6ew;New Orleans;13th Ward;29.936885,-90.10663
Aesop Rock;"producer / dj;rapper";https://en.wikipedia.org/wiki/Aesop_Rock;1996;1976-06-05;Ian Matthias Bavitz (born June 5, 1976), better known by his stage name Aesop Rock, is an American hip hop recording artist and producer from Northport, Long Island.;;;https://www.youtube.com/embed/ZEBGCOCxLgA;Long Island;Northport;40.879038,-73.340404
Triptik;group;https://fr.wikipedia.org/wiki/Triptik;1994;;Triptik is a french Hip Hop band formed by two rappers Dabaaz and Black' Boul (Greg Frite) and one dj Drixxxé.;;;https://www.youtube.com/embed/_Sc-SWhCgsY;Paris;;48.873174,2.349048
Yung Lean;rapper;https://en.wikipedia.org/wiki/Yung_Lean;2012;1996-07-18;Jonatan Leandoer Håstad (born 18 July 1996), better known by his stage name Yung Lean, is a Swedish rapper from Stockholm.;;;https://www.youtube.com/embed/tMgkt9jdjTU;Stockholm;Södermalm;59.311338,18.060332
Grems;"producer / dj;rapper";https://en.wikipedia.org/wiki/Grems;1998;1978-10-25;Michaël Eveno, better known by his stage name Grems (born 25 October 1978), is a French rapper and producer of French hip hop and designer.;;;https://www.youtube.com/embed/4V0aGTFlzF4;Paris;;48.855452,2.346578
Trina;rapper;https://en.wikipedia.org/wiki/Trina;1998;1978-12-03;"Katrina Laverne Taylor (born December 3, 1978), better known by her stage name Trina, is an American rapper. Trina first gained notoriety in 1998 with her appearance on Trick Daddy's second studio album www.thug.com on the single ""Nann Nigga"".";;;https://www.youtube.com/embed/grmJsiGf5Bk;Miami;Liberty City;25.831001,-80.224095
Foxy Brown;rapper;https://en.wikipedia.org/wiki/Foxy_Brown_(rapper);1994;1978-09-06;Inga DeCarlo Fung Marchand (born September 6, 1978), better known by her stage name Foxy Brown, is an American rapper, model, and actress.;;;https://www.youtube.com/embed/d1oCsn39kKk;New York;Brooklyn;40.672404,-73.977063
8Ball & MJG;group;https://en.wikipedia.org/wiki/8Ball_%26_MJG;1991;;8Ball & MJG is an American hip hop duo from Memphis, Tennessee. The two rappers met at Ridgeway Middle School (Memphis, Tennessee) in 1984.;;;https://www.youtube.com/embed/I7zw5XnSc-w;Memphis;;35.078121,-89.852682
Beyoncé;singer;https://en.wikipedia.org/wiki/Beyonc%C3%A9;1997;1981-09-04;Beyoncé Giselle Knowles-Carter (born September 4, 1981) is an American singer, songwriter and actress. Born and raised in Houston, Texas.;;;https://www.youtube.com/embed/4m1EFMoRFvY;Houston;Third Ward;29.735598,-95.360741
Wale;"rapper;singer";https://en.wikipedia.org/wiki/Wale_(rapper);2006;1984-09-21;Olubowale Victor Akintimehin (born September 21, 1984), better known by his stage name Wale, is an American rapper from Washington, D.C.;;;https://www.youtube.com/embed/aRGzlvOuigc;Montgomery County;;39.14,-77.2
Public Enemy;group;https://en.wikipedia.org/wiki/Public_Enemy_(band);;;Public Enemy is an American hip hop group consisting of Chuck D, Flavor Flav, Professor Griff, Khari Wynn, DJ Lord, and the S1W group from Long Island.;;;https://www.youtube.com/embed/8PaoLy7PHwk;Long Island;;40.721565,-73.651272
Aelpéacha;"producer;rapper";https://fr.wikipedia.org/wiki/Aelp%C3%A9acha;;;Nicolas Alpha Malbranche know has Aelpéacha, (born 12 June 1979) is a french producer, rapper, from Paris, know for is G-funk style.;;;https://www.youtube.com/embed/fPbL1CCnIaQ;Joinville-le-Pont;;48.8207209,2.4698424
Kaaris;"producer;rapper";https://en.wikipedia.org/wiki/Kaaris;;;Kaaris (born Okou Armand Gnakouri on 30 January 1980) is a French rapper from Sevran.;;;https://www.youtube.com/embed/xX4Pxiwti4E;Sevran;Rougemont;48.9350964,2.5132507
Jay Z;rapper;https://en.wikipedia.org/wiki/Jay_Z;1986;1969-12-04;Shawn Corey Carter (born December 4, 1969), best known as his stage name Jay Z, is an American rapper, businessman, and investor. Formerly known as Jay-Z, he is one of the best-selling musicians of all time, having sold more than 100 million records.;;;https://www.youtube.com/embed/6uikJTnmtgw;Brooklyn;Bedford-Stuyvesant;40.699153,-73.952231
The Notorious B.I.G.;rapper;https://en.wikipedia.org/wiki/The_Notorious_B.I.G.;1992;1972-05-21;Christopher George Latore Wallace (May 21, 1972 – March 9, 1997), better known by his stage names The Notorious B.I.G., Biggie, or Biggie Smalls, was an American rapper.;1997;1997-03-09;https://www.youtube.com/embed/phaJXp_zMYM;Brooklyn;Clinton Hill;40.683529,-73.964148
Jumo Barjo;group;;;;Jumo Barjo is a Belgian group of two rappers from Porte De Namur.;;;https://www.youtube.com/embed/FNwuap1xDz4;Bruxelles;Porte de Namur;50.838182,4.362032
Prince Waly;rapper;https://genius.com/artists/Prince-waly;;1991-12-24;Prince Waly is a french rapper from Montreuil, Seine-Saint-Denis.;;;https://www.youtube.com/watch?v=5nAWJpkUBMg;Montreuil;;48.869443,2.457461
Devlin;rapper;https://en.wikipedia.org/wiki/Devlin_(rapper);2006;1989-05-07;James Devlin (born 7 May 1989), better known mononymously as Devlin, is an English rapper from Dagenham, London.;;;https://www.youtube.com/embed/C81FqB1zbQU;London;Dagenham;51.541038,0.121572
Azizi Gibson;rapper;https://genius.com/artists/Azizi-gibson;2011;;Azizi Gibson was born in Frankfurt, Germany, raised in Bangkok, Thailand and is currently based in Los Angeles, California.;;;https://www.youtube.com/embed/Rx2Ka5fUQbg;Los Angeles;;34.094063,-118.283464
Sinya;rapper;https://genius.com/Sinyasound-rafale-2-dz-lyrics;2017;1995-08-05;Yassine Benhadji (born 5th august 1995) is a french rappeur of algerian descent who grew up in Perpignan.;;;https://www.youtube.com/embed/WkQveBSw_gI;Perpignan;Toulouges;42.670169,2.831146
Fayçal;rapper;https://genius.com/artists/Faycal;2001;;Fayçal is a french rapper from Bordeaux.;;;https://www.youtube.com/embed/18IwYqXg6v8;Bordeaux;;45.123558,-0.660833
TRU;group;https://en.wikipedia.org/wiki/TRU_(band);1989;;TRU (The Real Untouchables) was an American hip hop group from New Orleans, active from 1989 to 2005. The group originally consisted of rappers on the New Orleans label, No Limit Records. The members are brothers Master P, C-Murder, and Silkk the Shocker.;2005;;https://www.youtube.com/embed/JWC7llMbK98;New Orleans;;29.952886,-90.096329
OG Maco;rapper;https://en.wikipedia.org/wiki/OG_Maco;2011;1992-04-23;Maco Mattix (born April 23, 1992), better known by his stage name OG Maco, is an American hip hop recording artist from Atlanta, Georgia.;;;https://www.youtube.com/embed/kT3OQwyvKmk;Atlanta;College Park;33.618017,-84.471013
2 Bal 2 Neg;group;https://fr.wikipedia.org/wiki/2_Bal;1996;;2 Bal 2 Neg is a french rap group from Chelles. The group is composed by the   twin brother Doc TMC et G-Kill.;2010;;https://www.youtube.com/embed/mCKgPysQcck;Chelles;Cité Gambetta;48.879152,2.592819
Kalash Criminel;rapper;;2016;;Kalash Criminel is a French rapper of Congolese descent from Sevran, Seine-Saint-Denis.;;;https://www.youtube.com/embed/OYSHRYTprI8;Sevran;Rougemont;48.936965,2.524996
Stomy Bugsy;rapper;https://en.wikipedia.org/wiki/Stomy_Bugsy;1991;1972-05-21;Stomy Bugsy born Gilles Duarte (21 May 1972) is a French rapper and actor from Sarcelles, France. He is a member of the group Minister AMER with the rapper Passi.;;;https://www.youtube.com/embed/izstQnMbnFo;Sarcelle;;48.974476,2.372283
Driver;rapper;https://fr.wikipedia.org/wiki/Driver_(rappeur);1990;;"Driver is a French rapper, actor from Sarcelles (Val-d'Oise) born in 1976. Better know for is song Aie Aie Aie on the album ""Le grand schelem"".";;;https://www.youtube.com/embed/ChCshWIM0Qo;Sarcelle;;48.981097,2.386947
Sniper;group;https://en.wikipedia.org/wiki/Sniper_(group);1997;;Sniper is a French hip hop band from the Val-d'Oise department consisting of Tunisiano (Bachir Baccour) and Aketo (Ryad Selmi). Blacko, also known as Afrikaf (Karl Appela), was a member of the group until his departure in July 2007.;;;https://www.youtube.com/embed/1MI6ADAb-ms;Deuil-la-Barre;;48.970734,2.325747
Aaliyah;singer;https://en.wikipedia.org/wiki/Aaliyah;1991;1979-01-16;Aaliyah Dana Haughton (January 16, 1979 – August 25, 2001) was an American singer, dancer, actress, and model from Detroit, Michigan. On August 25, 2001, Aaliyah and eight others were killed in a plane crash in the Bahamas.;2001;2001-08-25;https://www.youtube.com/embed/kjDM0Fz5ccU;Detroit;;42.417139,-83.138337
Twista;rapper;https://en.wikipedia.org/wiki/Twista;1992;1973-11-27;Carl Terrell Mitchell (born November 27, 1973), better known by his stage name Twista, is an American rapper from Chicago, Illinois. He is best known for his chopper and ultra fast style of rapping.;;;https://www.youtube.com/embed/zSYDbpOuYUE;North Lawndale;K Town;41.862441,-87.729848
Soprano;"rapper;singer";https://en.wikipedia.org/wiki/Soprano_(rapper);1995;1979-01-14;Saïd M'Roumbaba (born 14 January 1979 in Marseille, France), better known by his stage name Soprano, is a French rapper of Comorian descent.;;;https://www.youtube.com/embed/s0trVuuUOY8?list=PL034AB236063D1021;Marseille;Balustres;43.338434,5.422224
The St. Lunatics;group;https://en.wikipedia.org/wiki/St._Lunatics;1993;;The St. Lunatics are a hip hop group from St. Louis Missouri, United States, formed in 1993. The group consists of Nelly, Ali, Murphy Lee, Kyjuan, and City Spud.;;;https://www.youtube.com/embed/TfSXeekAUwI;St. Louis;;38.60635,-90.226303
Kendrick Lamar;rapper;https://en.wikipedia.org/wiki/Kendrick_Lamar;;1987-06-17;Kendrick Lamar Duckworth (born June 17, 1987) is an American rapper and songwriter from Compton Los Angeles.;;;https://www.youtube.com/embed/GF8aaTu2kg0;Los Angeles;Compton;33.915222,-118.253387
Grandmaster Flash;"producer;rapper";https://en.wikipedia.org/wiki/Grandmaster_Flash;;1958-01-01;Joseph Saddler (born January 1, 1958), better known as Grandmaster Flash, is a Bajan-American hip hop recording artist and DJ. He is considered to be one of the pioneers of hip-hop DJing, cutting, and mixing.;;;https://www.youtube.com/embed/gYMkEMCHtJ4;New York;Bronx;40.8103,-73.9074
