,Title,Album,Artist,Release_Date,City,State,County,Country,Lyrics
2200,Young Love,For All Seasons,Nature,2000-03-10,New York,When you thought it was no love,It's always love around the...,,
2201,Smoke,For All Seasons,Nature,2000-03-10,New York,Peep the reprucussions,Causing deep discussions,Brothers th...,
2202,I Remember,For All Seasons,Nature,2000-03-10,New York,"""Yo Nate, shit is crazy, I shook hands with mad dead niggas...",,,
2203,Wise Ass '99,Rare Demos and Freestyles Volume 2,Necro,2001-06-16,New York,(Necro),I love a stunt thats down to sniff cocaine,A cunt w...,
2204,WBAU 90.3 Wildman Steve & DJ Riz Live Freestyle,Rare Demos and Freestyles Volume 1,Necro,2001-03-10,New York,[Necro Verse 1],My flow is vile,Like the cancer in Lyle,Th...
2205,One For the Butcher Knife,Rare Demos and Freestyles Volume 1,Necro,2001-03-10,New York,[Hook],"One for the butcher knife, two for the Glock!",(You c...,
2206,Bout to Go Down,Young & Thuggin',Turk,2001-01-01,New Orleans,[Verse 1 - Turk],"Look, look, look",I done told you once and ...,
2207,Hold Me Down,Melvin Flynt - Da Hustler,N.O.R.E.,1999-08-24,New York,Chorus 2X: Noreaga {Final Chapter},Yo hold me down nigga {...,,
2208,Sometimes,Melvin Flynt - Da Hustler,N.O.R.E.,1999-08-24,New York,[Noreaga and Maze],"Yeah, break half the Dutch off",Yeah this...,
2209,What the Fuck is Up?,Melvin Flynt - Da Hustler,N.O.R.E.,1999-08-24,New York,{​Noreaga}​,"Yo I be doin this shit, since a little juvenile...",,
2210,Play That Shit (We Don't Play That),Melvin Flynt - Da Hustler,N.O.R.E.,1999-08-24,New York,[Lil' Wayne],They call me the youngest headbuster walkin',T...,
2211,First Day Home,Melvin Flynt - Da Hustler,N.O.R.E.,1999-08-24,New York,Hook (2x):,I just came home,I ain't got no loot,I ain't try...
2212,Blood Money Pt. 3,Melvin Flynt - Da Hustler,N.O.R.E.,1999-08-24,New York,[Capone],"Yo, New York get the blood money","Dirty cash, smoke...",
2213,Oh No,Melvin Flynt - Da Hustler,N.O.R.E.,1999-08-24,New York,[Noreaga & Pharrell],"Bounce wit me, bounce, bounce, bounce ...",,
2214,Gangsta's Watch,Melvin Flynt - Da Hustler,N.O.R.E.,1999-08-24,New York,Verse 1: Noreaga,"Yo I got coke for y'all niggas, dope for ...",,
2215,Da Hustla,Melvin Flynt - Da Hustler,N.O.R.E.,1999-08-24,New York,Niggas might as well (Yeah!),Niggas might as well fuck with...,,
2216,Wethuggedout,Melvin Flynt - Da Hustler,N.O.R.E.,1999-08-24,New York,Overlaping eachother: [ Noreage & Missy Talking],(Missy),Yo...,
2217,Real or Fake Niggas,Melvin Flynt - Da Hustler,N.O.R.E.,1999-08-24,New York,Chorus: Final Chapter,Is you a real or a fake nigga,Get cau...,
2218,Cocaine Business (Hysteria),Melvin Flynt - Da Hustler,N.O.R.E.,1999-08-24,New York,[Noreaga - Verse 1],"Ay yo, we was chillin, on the low",Yo in...,
2219,Flagrant Cops,Melvin Flynt - Da Hustler,N.O.R.E.,1999-08-24,New York,[Skit],[Noreaga],Hey yo the same OG,Yo thats my shit
2220,Going Legit,Melvin Flynt - Da Hustler,N.O.R.E.,1999-08-24,New York,(Noreaga),Now tell em to step up into the life of a gangste...,,
2221,Dedicated to the Trife '95,Rare Demos and Freestyles Volume 2,Necro,2001-06-16,New York,Check this Hustler shit out,This is for all you fucking gan...,,
2222,WKCR 89.9 Stretch & Bobbito Live Radio Freestyle '95,Rare Demos and Freestyles Volume 2,Necro,2001-06-16,New York,[Radio Host],Yo can Necro get some? I wanna hear Necro,I ha...,
2223,My Sweet Dreams,Rare Demos and Freestyles Volume 1,Necro,2001-03-10,New York,Eat My Shit!,[Verse 1],A double-head tackle knife,Is what ...
2224,Raped Infants,Rare Demos and Freestyles Volume 1,Necro,2001-03-10,New York,Ever since,I raped infants and been infected with rabies,Ne...,
2225,Destined to Die,Rare Demos and Freestyles Volume 1,Necro,2001-03-10,New York,[Intro by Necro],This is a Captain Carnage,And Necrophilia...,
2226,All Night,Young & Thuggin',Turk,2001-01-01,New Orleans,(Lil Wayne),You know it's Wheezy you know,Nigga you know it...,
2227,Growing Up,Young & Thuggin',Turk,2001-01-01,New Orleans,[Mickey],"I ain't nothin but a hustler, I raised like that",P...,
2228,Let's Get It Started,The Worst: 2K Edition,Tech N9ne,2001-01-01,Kansas City,[Chorus],X2,Let Get It Started,With Bianca's all around us ...
2229,Strange,The Worst: 2K Edition,Tech N9ne,2001-01-01,Kansas City,[Intro: Tech N9ne],"The strangest, straight derangest, Stron...",,
2230,Young Hooligans,The Worst: 2K Edition,Tech N9ne,2001-01-01,Kansas City,[Verse 1: D.C.],"You bring your knife to a gun fight, nigga ...",,
2231,Eminem Freestyle,Power Cypha 3: The Grand Finale,Tony Touch,1999-03-02,New York,[Eminem],If I'm elected for ten terms,I'm renewing the staf...,
2232,Some Niggaz (Extended Version),Milíon,Half A Mill,2000-01-01,New York,[Chorus],Some niggas Blood and some niggas Crip,Some niggas...,
2233,Bounce,The Tunnel,Mary J. Blige,1999-12-07,New York,"(Sample of Jigga's ""bounce"" and ""bitch"" in background)",Big ...,,
2234,Confrontation,The Tunnel,Mary J. Blige,1999-12-07,New York,[Intro: Big Kap],"Funk Flex, Big Kap","Mary J, Def Jam, let's ...",
2235,K.I.M Interlude,The Tunnel,Mary J. Blige,1999-12-07,New York,[VERSE],It's been a long time,I shouldn't have left you,Wit...
2236,Def Jam 2000,The Tunnel,Mary J. Blige,1999-12-07,New York,[Fat Man Scoop],"Come on, uh","Come on, uh","Yeah, yeah, yeah, h..."
2237,Wow,The Tunnel,Mary J. Blige,1999-12-07,New York,"Look at me, Angie","Let's go, let me hear it",[Hook]x2,Come o...
2238,How Would You Like It?,60 Minutes of Funk. Volume IV: The Mixtape,Mary J. Blige,2000-06-27,New York,(Oh),"Ginuwine, Funkmaster Flex","In your earhole, whoo!",Drop ...
2239,Goodlife,60 Minutes of Funk. Volume IV: The Mixtape,Mary J. Blige,2000-06-27,New York,[faith-talking],"Yeah, funk flex","60 minutes of funk, volume ...",
2240,Do You,60 Minutes of Funk. Volume IV: The Mixtape,Mary J. Blige,2000-06-27,New York,[Intro],"That ""T"" would help though",Here we go again,"Yeah, c..."
2241,Been Thru it All,Street Life,Fiend,1999-07-06,New Orleans,Yeah nigga,Fiend nigga,Nineteen nigga nigga nigga what,Me a...
2242,I'm Losing My Mind,Street Life,Fiend,1999-07-06,New Orleans,(talking),"I know, I know two wrongs don't make a right","But,...",
2243,Heart of a Ghetto Boy,Street Life,Fiend,1999-07-06,New Orleans,"This one, this one so fresh I'm still reading it off the pa...",,,
2244,I Was Placed Here,Street Life,Fiend,1999-07-06,New Orleans,[Holloway],"As I slide into this gangsta track, I lost so ma...",,
2245,The Truth Is,Street Life,Fiend,1999-07-06,New Orleans,"Man come on girl, you know we tryin to do something",You gon...,,
2246,If They Don't Know,Street Life,Fiend,1999-07-06,New Orleans,You ain't never been to my city where niggas my age don't l...,,,
2247,Come Thru,Can I Burn?,Fiend,2000-09-04,New Orleans,[Big Ed],'Sup nigga,I'm still hungry BITCH! HA,Ya heard me?...
2248,Shining Through [Second Version],Firestarr,Fredro Starr,2001-07-29,New York,[Chorus: Sunshine],"I see your true colors, shining through",...,
2249,One Day,Ghetto Fabolous,Fabolous,2001-09-11,New York,[Produced by Omen],(*Fabolous humming to the beat*),[Vers...,
2250,Show N Prove,Uncontrolled Substance,Inspectah Deck,1999-10-05,New York,[Intro],"The Power of God's in you, show n prove","(Yeah, this...",
2251,Friction,Uncontrolled Substance,Inspectah Deck,1999-10-05,New York,[Intro: Inspectah Deck],Is you ready?,Back by popular deman...,
2252,Elevation,Uncontrolled Substance,Inspectah Deck,1999-10-05,New York,[Intro (whispered) x15],Elevation,[Hook],Tired of trials a...
2253,Femme Fatale,Uncontrolled Substance,Inspectah Deck,1999-10-05,New York,[Inspectah Deck],"Yo, yo, late night, her click deserted",Tim...,
2254,Lovin' You,Uncontrolled Substance,Inspectah Deck,1999-10-05,New York,[Intro: Inspectah Deck],What is love? Love is love,What is ...,
2255,True School Anthem,The Best Part,Pharoahe Monch,1999-01-10,New York,[Verse One],Yo I rock shit like this to leave skid marks,Th...,
2256,SayYesSayWord (Street),SayYesSayWord - Militant Raw & Live,Pharoahe Monch,1999-01-10,New York,Akrobatik - “SayYesSayWord”,[Emcee(s): Akrobatik],[Producer...,
2257,Soul,Now Or Never: Odyssey 2000,Easy Mo Bee,2000-11-12,New York,[Intro/Hook: Guru],"Yo, you suckers is playin a role",You nig...,
2258,Make Em Bounce,Now Or Never: Odyssey 2000,Easy Mo Bee,2000-11-12,New York,Yo (yeah) yo yo nigga,"Rip that, rip that baby c'mon let's g...",,
2259,Sunstroke,Now Or Never: Odyssey 2000,Easy Mo Bee,2000-11-12,New York,[Verse 1: Sauce Money],"Five star General spit, hush them ni...",,
2260,Back on the Scene,The Birth EP,Pharoahe Monch,1999-01-10,New York,Ayo,Ayo (What's that?),One time for your mind (Back again),...
2261,Rhyme Training,Ecology,Pharoahe Monch,1999-01-10,New York,[Verse 1],On a pursuit of a life like a story book saga,Mat...,
2262,Why Must U Be Unfaithful,The Rose That Grew From Concrete Vol. 1,2Pac,2000-11-21,New York,California,Marin,USA,* Poems written by Shakur as ~ interpreted by other artists...
2263,God,The Rose That Grew From Concrete Vol. 1,2Pac,2000-11-21,New York,California,Marin,USA,[Reverend Run]
2264,And I Still Love You,The Rose That Grew From Concrete Vol. 1,2Pac,2000-11-21,New York,California,Marin,USA,[Red Rat]
2265,The Rose That Grew From Concrete,The Rose That Grew From Concrete Vol. 1,2Pac,2000-11-21,New York,California,Marin,USA,* Poems written by Shakur as ~ interpreted by other artists...
2266,Wife 4 Life,The Rose That Grew From Concrete Vol. 1,2Pac,2000-11-21,New York,California,Marin,USA,[Intro: 4th Avenue Jones' & K-Ci]
2267,A River That Flows Forever,The Rose That Grew From Concrete Vol. 1,2Pac,2000-11-21,New York,California,Marin,USA,{*singing in other language*}
2268,Wake Me When I'm Free,The Rose That Grew From Concrete Vol. 1,2Pac,2000-11-21,New York,California,Marin,USA,* Poems written by Shakur as ~ interpreted by other artists...
2269,What of a Love Unspoken,The Rose That Grew From Concrete Vol. 1,2Pac,2000-11-21,New York,California,Marin,USA,"Alright, alright {*people applauding*}"
2270,Family Tree,The Rose That Grew From Concrete Vol. 1,2Pac,2000-11-21,New York,California,Marin,USA,Because we all spring from different trees
2271,Sometimes I Cry,The Rose That Grew From Concrete Vol. 1,2Pac,2000-11-21,New York,California,Marin,USA,[Dan Rockett * singing]
2272,Tears of a Teenage Mother,The Rose That Grew From Concrete Vol. 1,2Pac,2000-11-21,New York,California,Marin,USA,[Jasmine Guy]
2273,The Sun & the Moon,The Rose That Grew From Concrete Vol. 1,2Pac,2000-11-21,New York,California,Marin,USA,[Chief Okena Littlehawk]
2274,When the Heart Turns Cold,The Rose That Grew From Concrete Vol. 1,2Pac,2000-11-21,New York,California,Marin,USA,* Poems written by Shakur as ~ interpreted by other artists...
2275,Only 4 the Righteous (Vol. 1 Version),The Rose That Grew From Concrete Vol. 1,2Pac,2000-11-21,New York,California,Marin,USA,[Rha Goddess]
2276,Jada,The Rose That Grew From Concrete (Book),2Pac,1999-04-12,New York,California,Marin,USA,U R the omega of my heart
2277,Champions,Dame Dash Present: Paid In Full Soundtrack,Dame Dash,2002-01-01,New York,"[Samples from ""We Are the Champions"" by Queen]",Time after t...,,
2278,I Am Dame Dash,Dame Dash Presents The Dream Team,Dame Dash,2002-01-01,New York,[Intro: Dame Dash (Cam'ron)],"Hopefully, y'all enjoying the ...",,
2279,Straight Outta Q.B.,QB's Finest - Nas & Ill Will Records Presents: Queensbridge the Album,Cormega,2000-11-21,New York,[Verse 1 Cormega],Straight outta Queensbridge,A crazy mothe...,
2280,Soul Food,The True Meaning,Cormega,2002-01-01,New York,"I hope this ain't a bad time, did I wake you?",I've been mea...,,
2281,Therapy,The True Meaning,Cormega,2002-01-01,New York,To ease the mind I analyze between lines I vandalize,With r...,,
2282,Endangered Species,The True Meaning,Cormega,2002-01-01,New York,(Verse 1),Threats don't impress me (uh),"Ain't no love, your...",
2283,The Legacy,The True Meaning,Cormega,2002-01-01,New York,[Verse],"It was '85, Queensbridge was crazy live",Smitty was ...,
2284,The Come Up,The True Meaning,Cormega,2002-01-01,New York,(Cormega),"Ain't too many, as true as us",Prestidge elluded u...,
2285,Introspective,The True Meaning,Cormega,2002-01-01,New York,[Cormega],I killed it with The Realness now I'm bringin' ne...,,
2286,Built For This,The True Meaning,Cormega,2002-01-01,New York,[Production by Jay Garfield],It's time to separate the roo...,,
2287,Mega's On His Own,Hustler-Rapper,Cormega,1999-04-27,New York,"* originally on the ""Deep Blue Sea"" OST as ""Mega's On His O...",,,
2288,Poetry,Hustler-Rapper,Cormega,1999-04-27,New York,[Intro: Black Ice],"Yo, yo Nas. Big and Pac didn't like you ...",,
2289,Freestyle,Hustler-Rapper,Cormega,1999-04-27,New York,[Busta Rhymes],"Busta Rhymes, the place to be",Flipmode Squad...,
2290,All I Need Is You,Hustler-Rapper,Cormega,1999-04-27,New York,[Intro],*phone rings*,[Mega] yo,[Girl] Hey
2291,Who Can I Trust,Hustler-Rapper,Cormega,1999-04-27,New York,Cormega: yo,Lil Wayne: whats up,Cormega: that gangster shit...,
2292,Get Out My Way,The Realness,Cormega,2002-01-01,New York,[Verse 1],Even though mad niggas hate it,I remain the most ...,
2293,American Beauty,The Realness,Cormega,2002-01-01,New York,[Cormega],"Yo, its night time I can't sleep",My pens beggin' ...,
2294,Killaz Theme II (Bonus Track),The Realness,Cormega,2002-01-01,New York,[Intro],"Heh heh, yea","Hahahaha, right",Part the crowd like th...
2295,5 for 40,The Realness,Cormega,2002-01-01,New York,[Cormega],Son I was a young nigga hustling,Me serving a D w...,
2296,Glory Days,The Realness,Cormega,2002-01-01,New York,"[Mega] Yea Spank, what up my nigga","[Spank] Sup, baby whats ...",,
2297,Unforgiven,The Realness,Cormega,2002-01-01,New York,[Cormega],"Yo, I'm contemplatin'",My soul is in a custody fig...,
2298,Raise Up,Bones (Original Motion Picture Houndtrack),Kokane,2001-10-09,New York,"You know what, I'm sayin'",[* Crows crowing *],"Ooh ooh, uh...",
2299,Animal Thug Goes Hollywood (Skit),Melvin Flynt - Da Hustler,N.O.R.E.,1999-08-24,New York,"Animal Thug: I love everybody, fucking shit man. What's up ...",,,
2300,Hospital / Funeral Intro,Melvin Flynt - Da Hustler,N.O.R.E.,1999-08-24,New York,"A.J. Skeeter: ""This is A.J. Skeeter reporting live for N.O....",,,
2301,Da Tunnel (Skit),Melvin Flynt - Da Hustler,N.O.R.E.,1999-08-24,New York,"A.J. Skeeter: A.J. Skeeter here, reporting live for N.O.R.E...",,,
2302,The Pigeon (Skit),Melvin Flynt - Da Hustler,N.O.R.E.,1999-08-24,New York,Yo hit that son,"Word, word, let me cop that light","Hit that,...",
2303,Police Rush the Spot,Thicker Than Water (Soundtrack),N.O.R.E.,1999-10-05,New York,[Maze],"I'm seein niggas are stealin, the LOM seein six juni...",,
2304,Come Thru,Violator: The Album V2.0,N.O.R.E.,2001-07-24,New York,"[Hook: Vanity Fare's ""Early in the Morning""]","Evening, is th...",,
2305,I Wanna Fuck You,Violator: The Album,N.O.R.E.,1999-03-14,New York,[Noreaga],.. what what what what,"What what what what what, ...",
2306,Nature Freestyle (GTA 3),Grand Theft Auto III Soundtrack,Nature,2001-01-01,New York,[Intro],"All the way live, from the bridge","Nature, Big Stret...",
2307,Grinch 2000,Dr. Seuss' How the Grinch Stole Christmas (Original Motion Picture Soundtrack),Busta Rhymes,2000-01-01,New York,New York,Nassau,USA,[Jim Carrey]
2308,What It Is Right Now Pt. 2,Dr. Dolittle 2 Soundtrack,Busta Rhymes,2001-07-28,New York,New York,Nassau,USA,[Busta Rhymes]
2309,Violators,Violator: The Album,Busta Rhymes,1999-03-14,New York,New York,Nassau,USA,"* just to be clear, L Boogie does +not+ in this case refer ..."
2310,Whodaf**kareyou (Street),Singular Plurals,C-Rayz Walz,2001-05-28,New York,[Verse 1: C-Rayz Walz],"Fuck alarm clocks—battle me, you'll ...",,
2311,Pots and Pans (DJ Cheapshot Remix),Singular Plurals,C-Rayz Walz,2001-05-28,New York,C-Rayz Walz - “Pots and Pans (DJ Cheapshot Remix)”,[Emcee(s...,,
2312,Mood Swing (Dirty),Singular Plurals,C-Rayz Walz,2001-05-28,New York,[Verse 1: C-Rayz Walz],I keep it moving like frog legs befo...,,
2313,Mood Swing (Clean),Mood Swing - Make It Happen,C-Rayz Walz,2001-10-13,New York,[Verse 1: C-Rayz Walz],I keep it moving like frog legs befo...,,
2314,Mood Swing (Instrumental),Mood Swing - Make It Happen,C-Rayz Walz,2001-10-13,New York,[Instrumental],            ,          ,        ...
2315,Make It Happen (Instrumental),Mood Swing - Make It Happen,C-Rayz Walz,2001-10-13,New York,[Instrumental],            ,          ,        ...
2316,Make It Happen (Clean),Mood Swing - Make It Happen,C-Rayz Walz,2001-10-13,New York,[Intro: C-Rayz Walz],Ha.  Now come on.  Now come on.  Now l...,,
2317,Whodaf**kareyou (Instrumental),Whodaf**kareyou - Degrees,C-Rayz Walz,2001-05-07,New York,[Instrumental],            ,          ,        ...
2318,Whodaf**kareyou (Acapella),Whodaf**kareyou - Degrees,C-Rayz Walz,2001-05-07,New York,[Verse 1: C-Rayz Walz],"Fuck alarm clocks—battle me, you'll ...",,
2319,Degrees (Clean),Whodaf**kareyou - Degrees,C-Rayz Walz,2001-05-07,New York,[Verse 1: C-Rayz Walz],"I wrote rhymes on papyrus, clutch th...",,
2320,Degrees (Instrumental),Whodaf**kareyou - Degrees,C-Rayz Walz,2001-05-07,New York,[Instrumental],            ,          ,        ...
2321,Whodaf**kareyou (Clean),Whodaf**kareyou - Degrees,C-Rayz Walz,2001-05-07,New York,[Verse 1: C-Rayz Walz],"Fuck alarm clocks—battle me, you'll ...",,
2322,Options,Violator: The Album V2.0,Capone,2001-07-24,New York,[Capone & Noyd],Light up!  Light up! That's right!  Bring i...,,
2323,I Hate Hip Hop,Process of Elimination,Craig G,1999-02-15,New York,* numerous intro chatter for 20 seconds - hard to transcrib...,,,
2324,Keep Doin' U,Lake Entertainment Presents: The 41st Side,Craig G,2001-04-18,New York,[Craig G],Yeah yeah yeah yeah,"From the top, from the top",Ye...
2325,Pull It,The 24th Letter,Cam'ron,2001-12-20,New York,New York,Manhattan,USA,"Uh, let me tell you somethin"
2326,Stan (Remix),Diplomats Volume 1,Cam'ron,2002-01-01,New York,New York,Manhattan,USA,"Dear Stan, I gotta let this pen cross the line"
2327,Talk Shit 2 Ya,Baby Boy: Music From the Motion Picture,D’Angelo,2001-03-31,Richmond City,[Chorus],Tell me what you want and I'mma give it to ya,Don'...,
2328,The Man,Ghost Dog: The Way of the Samurai OST,Masta Killa,1999-12-12,New York,[Superb],Fuck y'all niggas talkin about?,"My flow, right?",E...
2329,Shaolin Temple,Wu-Tang: Shaolin Style,Masta Killa,1999-10-31,New York,[Verse 1: Masta Killa]  (x2),"Intruder alert, sound the cymb...",,
2330,American Dream,Training Day (Soundtrack),Puff Daddy,2001-09-11,New York,[P. Diddy],This is not America,"Bad Boy baby, David Bowie, l...",
2331,To All My People,Process of Elimination,Prince Po,1999-02-15,New York,* soft spoken ad lib for 10 secs *,"""To all my people I'm ou...",,
2332,What is the Law,Oz: The Soundtrack,Pharoahe Monch,2001-01-09,New York,[Verse 1: Pharoahe Monch],"Officer Frank Pagliarule, heh, sh...",,
2333,WWIII,Soundbombing II,Pharoahe Monch,1999-05-18,New York,[Chorus: Pharoahe Monch and Shabaam Sahdeeq (repeat 2X)],We...,,
2334,Mayor,Soundbombing II,Pharoahe Monch,1999-05-18,New York,* knock at the door *,"[Mayor] Jesus Christ, who is it?!?!",[...,
2335,Livin it Up,Next Friday (Original Motion Picture Soundtrack),Pharoahe Monch,1999-12-14,New York,"One, two..","One (two) one one one (two) one, one, one",One tw...,
2336,Horsemen,2000 B.C. (Before Can-I-Bus),Pharoahe Monch,2000-01-18,New York,[Pharoahe Monch],Yo yo,The sheer fuckin assemblin of these ...,
2337,Fuck You,Training Day (Soundtrack),Pharoahe Monch,2001-09-11,New York,[Hook],Get your hands,Up against the wall and spread them,O...
2338,Secret Agent,Music to Drink By,Louis Logic,2000-07-08,New York,[Intro: Louis Logic],"Yo, check it out, this is Louis Logic",...,
2339,Who the Fuck Are You?,Music to Drink By,Louis Logic,2000-07-08,New York,[Sample: ?],Who are you?,Who am I? I'm Fucking Lou. Who the...,
2340,Loud Mouth,Music to Drink By,Louis Logic,2000-07-08,New York,[Intro: Louis Logic],"Hit me, hit me, hit me, hit me, yo",I'm...,
2341,General Principal,Music to Drink By,Louis Logic,2000-07-08,New York,[Intro: Louis] (x4),"Check it out, uh",[Verse 1: J-Treds],Ma...
2342,"Adolf ""8-Off"" Agahar (Interlude)",The Piece Maker,Tony Touch,2000-04-18,New York,[8-Off Agallar],Feelin kinda tense and angry,Gotta let out ...,
2343,The Club,The Piece Maker,Tony Touch,2000-04-18,New York,[OC],The whole city's under siege when we come through wit ...,,
2344,"Royce the 5'9"" (Interlude)",The Piece Maker,Tony Touch,2000-04-18,New York,[Royce],"Detroit, yeah..","Royce 5-9, Tony TOUCH!",The year is ...
2345,Cormega Freestyle,Power Cypha 3: The Grand Finale,Tony Touch,1999-03-02,New York,[Cormega],What up son? It's Mega,"Tony Touch, what the deal ...",
2346,Royce the 5-9 Freestyle,Power Cypha 3: The Grand Finale,Tony Touch,1999-03-02,New York,[Royce],"Yo, I'm runnin up on you","Whether you packin or not,...",
2347,Black Star Freestyle,Power Cypha 3: The Grand Finale,Tony Touch,1999-03-02,New York,[Mos Def] (Talib Kweli),Ay ay ay (yo wassup),Whoooooweee! (...,
2348,My Mom Izza Thug,"Men Are From Mars, Porn Stars Are From Earth",Mac Lethal,2002-01-01,Kansas City,My mom is a thug with the bomb-diggy bud,And her palm on he...,,
2349,My Angel Veronica,"Men Are From Mars, Porn Stars Are From Earth",Mac Lethal,2002-01-01,Kansas City,This is not going to be easily understood,You have to pay v...,,
2350,Club Bamboo,"Men Are From Mars, Porn Stars Are From Earth",Mac Lethal,2002-01-01,Kansas City,[Intro],Yo! Yo! eh yo a yo a yo. Yo! Yo! eh yo a yo a yo!,Y...,
2351,Midnight in Manhattan,"Men Are From Mars, Porn Stars Are From Earth",Mac Lethal,2002-01-01,Kansas City,This is the worst thing I've ever seen in my life,(Our ele...,,
2352,Mermaid Pornography,"Men Are From Mars, Porn Stars Are From Earth",Mac Lethal,2002-01-01,Kansas City,[Verse One],Land mines wheel chairs toilet snakes,I'm rolli...,
2353,A Cool Breeze,"Men Are From Mars, Porn Stars Are From Earth",Mac Lethal,2002-01-01,Kansas City,[Man Talking],"""And here's another hi-fi collectors item wit...",,
2354,Whatchanogood,Foolish (Original Motion Picture Soundtrack),Mia X,1999-01-01,New Orleans,[Dick Hurse],"Ey, won't ya'll cut it off for me out there",(T...,
2355,Foolish,Foolish (Original Motion Picture Soundtrack),Master P,1999-01-01,New Orleans,Louisiana,Plaquemines,USA,(Master P Talking)
2356,Golds in They Mouth,Ghetto Postage,Master P,2001-04-24,New Orleans,Louisiana,Plaquemines,USA,[Chorus  2X:  Master P]
2357,Pockets Gone Stay Fat,Ghetto Postage,Master P,2001-04-24,New Orleans,Louisiana,Plaquemines,USA,[Magic - talking]
2358,Would You,Ghetto Postage,Master P,2001-04-24,New Orleans,Louisiana,Plaquemines,USA,[Krazy talking]
2359,Doo Rags,Ghetto Postage,Master P,2001-04-24,New Orleans,Louisiana,Plaquemines,USA,[Intro]
2360,Life I Live,Ghetto Postage,Master P,2001-04-24,New Orleans,Louisiana,Plaquemines,USA,[Master P talking]
2361,Soulja Boo,Ghetto Postage,Master P,2001-04-24,New Orleans,Louisiana,Plaquemines,USA,{Master P}
2362,Don Is Back,Ghetto Postage,Master P,2001-04-24,New Orleans,Louisiana,Plaquemines,USA,[Interlude]
2363,Twerk That Thang,Ghetto Postage,Master P,2001-04-24,New Orleans,Louisiana,Plaquemines,USA,[Master P]
2364,My Babooski,Ghetto Postage,Master P,2001-04-24,New Orleans,Louisiana,Plaquemines,USA,[Master P talking]
2365,I Don't Give Ah What,Ghetto Postage,Master P,2001-04-24,New Orleans,Louisiana,Plaquemines,USA,[Intro- Master P]
2366,Still Ballin',Ghetto Postage,Master P,2001-04-24,New Orleans,Louisiana,Plaquemines,USA,{Chorus 2x - Krazy}
2367,Always Come Back to You,Ghetto Postage,Master P,2001-04-24,New Orleans,Louisiana,Plaquemines,USA,Chorus:
2368,Roll How We Roll,Ghetto Postage,Master P,2001-04-24,New Orleans,Louisiana,Plaquemines,USA,[Chorus: Afficial]
2369,It Don't Get No Better,Ghetto Postage,Master P,2001-04-24,New Orleans,Louisiana,Plaquemines,USA,(Master P)
2370,Bitch I like,Ghetto Postage,Master P,2001-04-24,New Orleans,Louisiana,Plaquemines,USA,[Master P]
2371,Hush,Ghetto Postage,Master P,2001-04-24,New Orleans,Louisiana,Plaquemines,USA,[Master P]
2372,Poppin' Them Collars,Ghetto Postage,Master P,2001-04-24,New Orleans,Louisiana,Plaquemines,USA,[Snoop Dogg & (Master P) talking]
2373,Life Ain't Easy,Only God Can Judge Me,Master P,1999-10-26,New Orleans,Louisiana,Plaquemines,USA,*police siren*
2374,Where Do We Go From Here,Only God Can Judge Me,Master P,1999-10-26,New Orleans,Louisiana,Plaquemines,USA,[Intro: Master P]
2375,Only God Can Judge Me,Only God Can Judge Me,Master P,1999-10-26,New Orleans,Louisiana,Plaquemines,USA,[Master P]
2376,Locked Up,Oz: The Soundtrack,Master P,2001-01-09,New Orleans,Louisiana,Plaquemines,USA,"[Intro: Master P, Offier]"
2377,B-ball,No Limit All Stars: Who U Wit?,Master P,1999-04-24,New Orleans,Louisiana,Plaquemines,USA,If you still love this game make some noise
2378,Dear Mr. President,MP Da Last Don,Master P,2001-05-20,New Orleans,Louisiana,Plaquemines,USA,[Master P]
2379,Ghetto Love,MP Da Last Don,Master P,2001-05-20,New Orleans,Louisiana,Plaquemines,USA,Chorus (2x):
2380,Gangsta Bitch,MP Da Last Don,Master P,2001-05-20,New Orleans,Louisiana,Plaquemines,USA,[Chorus (2x):]
2381,Ride,MP Da Last Don,Master P,2001-05-20,New Orleans,Louisiana,Plaquemines,USA,Picture this nigga me a ghetto millionaire
2382,Eternity,MP Da Last Don,Master P,2001-05-20,New Orleans,Louisiana,Plaquemines,USA,[Intro]
2383,Black and White,MP Da Last Don,Master P,2001-05-20,New Orleans,Louisiana,Plaquemines,USA,Kid: Hey dad I got in a fight with this white kid today at ...
2384,Rock It,Game Face,Master P,2001-01-01,New Orleans,Louisiana,Plaquemines,USA,[Master P and 5th Ward Weebie]
2385,The Farm,Game Face,Master P,2001-01-01,New Orleans,Louisiana,Plaquemines,USA,[Master P Talking]
2386,Take it Outside,Game Face,Master P,2001-01-01,New Orleans,Louisiana,Plaquemines,USA,"Gameface (what, what, what, what, what)"
2387,Whoadie Gone,Game Face,Master P,2001-01-01,New Orleans,Louisiana,Plaquemines,USA,Ugggghhhhh!
2388,Back On Top,Game Face,Master P,2001-01-01,New Orleans,Louisiana,Plaquemines,USA,Gameface UUUUUUHHHHHH
2389,The Block,Game Face,Master P,2001-01-01,New Orleans,Louisiana,Plaquemines,USA,(Intro)
2390,A Woman,Game Face,Master P,2001-01-01,New Orleans,Louisiana,Plaquemines,USA,(More than a woman...)
2391,I Don't,Game Face,Master P,2001-01-01,New Orleans,Louisiana,Plaquemines,USA,"Yo, this for all them niggas and bitches"
2392,What I'm Bout,Game Face,Master P,2001-01-01,New Orleans,Louisiana,Plaquemines,USA,(Master P talking)
