,Name,Categories,URL,Years Active Start,Birthdate,Summary,Years Active End,Deathdate,Clip Example YouTube,City,Neighborhood,Coordinates,Lat,Lon
506,A$AP Ferg,rapper,https://en.wikipedia.org/wiki/ASAP_Ferg,2007.0,1988-10-20,"Darold D. Brown Ferguson, Jr. (born October 20, 1988), better known by his stage name A$AP Ferg, is an American rapper from Harlem, New York. Aside from his solo career, he is a member of the hip hop collective A$AP Mob.",,,https://www.youtube.com/embed/WjlkvM7mz1U,Harlem,Hamilton Heights,"40.825389,-73.949062",40.825389,-73.949062
511,Masta Killa,rapper,https://en.wikipedia.org/wiki/Masta_Killa,,1969-08-18,"Jamel Irief (born Elgin Turner; August 18, 1969), better known by his stage name Masta Killa, is an American rapper and member of the Wu-Tang Clan.",,,https://www.youtube.com/embed/QZ5Rbla6jJA,Brooklyn,East New York,"40.663512,-73.884644",40.663512,-73.884644
520,Dj Premier,producer / dj,https://en.wikipedia.org/wiki/DJ_Premier,1984.0,1966-03-21,"Christopher Edward Martin (born March 21, 1966), better known by his stage name DJ Premier, is an American Record Producer and DJ, and was half of the hip hop duo Gang Starr—alongside the emcee Guru.",,,https://www.youtube.com/embed/mnl7Q_IBXbw,New york,Brooklyn,"40.675853,-73.94279",40.675853,-73.94279
541,Fabolous,rapper,https://en.wikipedia.org/wiki/Fabolous,2000.0,1977-11-18,"John David Jackson (born November 18, 1977), better known by his stage name Fabolous, is an American hip hop recording artist from  Bedford-Stuyvesant, Brooklyn, New York City.",,,https://www.youtube.com/embed/XE9IDVVXUYs,Brooklyn,Bedford-Stuyvesant,"40.680119,-73.923857",40.680119,-73.923857
548,Action Bronson,rapper,https://en.wikipedia.org/wiki/Action_Bronson,2008.0,1983-12-02,"Arian Asllani (born December 2, 1983), better known by the stage name Action Bronson, is an American rapper and former chef.",,,https://www.youtube.com/embed/58RSC7HO9aU,Queens,Flushing,"40.759185,-73.827754",40.759185,-73.827754
553,50 Cent,rapper,https://en.wikipedia.org/wiki/50_Cent,1998.0,1975-07-06,"Curtis James Jackson III (born July 6, 1975), known professionally as 50 Cent, is an American rapper, actor, businessman, and investor.",,,https://www.youtube.com/embed/5qm8PH4xAss,Queens,South Jamaica,"40.668703,-73.77459",40.668703,-73.77459
559,Method Man,rapper,https://en.wikipedia.org/wiki/Method_Man,,,"Clifford Smith (born March 2, 1971), better known by his stage name Method Man, is an American rapper, record producer, and actor. He is perhaps best known as a member of the East Coast hip hop collective Wu-Tang Clan.",,,https://www.youtube.com/embed/T0BlXy3Roj4,Staten Island,Clifton,"40.6141896,-74.0806547",40.6141896,-74.0806547
574,Immortal Technique,rapper,https://en.wikipedia.org/wiki/Immortal_Technique,2000.0,1978-02-19,"Felipe Andres Coronel (born February 19, 1978), better known by the stage name Immortal Technique, is an American rapper and urban activist. Most of his lyrics focus on controversial issues in global politics.",,,https://www.youtube.com/embed/qggxTtnKTMo,New York,Harlem,"40.786914,-73.952751",40.786914,-73.952751
575,Joey bada$$,rapper;singer,https://en.wikipedia.org/wiki/Joey_Badass,2010.0,1995-01-20,"Jo-Vaughn Virginie Scott (born January 20, 1995), better known by his stage name Joey Badass (stylized as Joey Bada$$), is an American hip hop recording artist and actor.",,,https://www.youtube.com/embed/yRfQGXFRr30,Brooklyn,Bedford–Stuyvesant,"40.688889,-73.944444",40.688889,-73.944444
577,Ol' Dirty Bastard,producer;rapper,https://en.wikipedia.org/wiki/Ol%27_Dirty_Bastard,,1968-11-15,"Russell Tyrone Jones better known under his stage name Ol' Dirty Bastard (or ODB), was an American rapper and producer. He was one of the founding members of the Wu-Tang Clan.",,2004-11-13,https://www.youtube.com/embed/4ITLNzPoEqs,New York,Brooklyn,"40.683065,-73.970845",40.683065,-73.970845
